,time,passes,recirculated,discarded,keff,keff_relative_uncertainty,keff_absolute_uncertainty,power_normalization_value,threshold
0,7020,32.5,,,0.968272807,0.000289602,0.000280413,8000000,72
1,7030.8,32.55,1350,266,0.971586583,0.000298918,0.000290424,8000000,72
2,7041.6,32.6,1350,276,0.974572229,0.000282223,0.000275046,8000000,72
3,7052.4,32.65,1350,294,0.975375001,0.000282237,0.000275287,8000000,72
4,7063.2,32.7,1350,258,0.976684396,0.000288943,0.000282206,8000000,72
5,7074,32.75,1350,265,0.976990328,0.000285749,0.000279174,8000000,72
6,7084.8,32.8,1350,269,0.977534125,0.000286995,0.000280547,8000000,72
7,7095.6,32.85,1350,241,0.977410965,0.00028826,0.000281748,8000000,72
8,7106.4,32.9,1350,256,0.978649581,0.00028016,0.000274178,8000000,72
9,7117.2,32.95,1350,246,0.978400316,0.000289506,0.000283252,8000000,72
10,7128,33,1350,238,0.977942452,0.000281489,0.00027528,8000000,72
11,7138.8,33.05,1350,266,0.978055779,0.000288582,0.000282249,8000000,72
12,7149.6,33.1,1350,247,0.979483802,0.000288274,0.000282359,8000000,72
13,7160.4,33.15,1350,227,0.978581458,0.000291495,0.000285252,8000000,72
14,7171.2,33.2,1350,214,0.979028389,0.000284822,0.000278848,8000000,72
15,7182,33.25,1350,210,0.97814422,0.000300059,0.000293501,8000000,72
16,7192.8,33.3,1350,225,0.978289012,0.000276857,0.000270846,8000000,72
17,7203.6,33.35,1350,232,0.977771641,0.000281093,0.000274845,8000000,72
18,7214.4,33.4,1350,219,0.977797352,0.000284009,0.000277703,8000000,72
19,7225.2,33.45,1350,217,0.977956144,0.000284228,0.000277962,8000000,72
20,7236,33.5,1350,216,0.978238733,0.00027533,0.000269338,8000000,72
21,7246.8,33.55,1350,209,0.97759155,0.000290499,0.00028399,8000000,72
22,7257.6,33.6,1350,235,0.976988655,0.000291875,0.000285158,8000000,72
23,7268.4,33.65,1350,250,0.976749196,0.000292237,0.000285443,8000000,72
24,7279.2,33.7,1350,255,0.976191076,0.000288477,0.000281609,8000000,72
25,7290,33.75,1350,228,0.977084491,0.000297195,0.000290385,8000000,72
26,7300.8,33.8,1350,210,0.977475693,0.000292722,0.000286129,8000000,72
27,7311.6,33.85,1350,247,0.976543396,0.000286186,0.000279473,8000000,72
28,7322.4,33.9,1350,235,0.977580781,0.000276308,0.000270113,8000000,72
29,7333.2,33.95,1350,231,0.977402011,0.000284407,0.00027798,8000000,72
30,7344,34,1350,250,0.976627789,0.000287305,0.00028059,8000000,72
31,7354.8,34.05,1350,228,0.977186887,0.000285391,0.000278881,8000000,72
32,7365.6,34.1,1350,220,0.977763439,0.00029421,0.000287668,8000000,72
33,7376.4,34.15,1350,206,0.977263492,0.000303942,0.000297032,8000000,72
34,7387.2,34.2,1350,220,0.97708551,0.000290305,0.000283653,8000000,72
35,7398,34.25,1350,223,0.977638652,0.000282576,0.000276257,8000000,72
36,7408.8,34.3,1350,204,0.976870596,0.000282814,0.000276272,8000000,72
37,7419.6,34.35,1350,245,0.976421279,0.000288284,0.000281486,8000000,72
38,7430.4,34.4,1350,243,0.97622236,0.00028612,0.000279317,8000000,72
39,7441.2,34.45,1350,241,0.976444262,0.000281407,0.000274778,8000000,72
40,7452,34.5,1350,225,0.975960618,0.000277435,0.000270765,8000000,72
41,7462.8,34.55,1350,225,0.976033981,0.000289356,0.000282422,8000000,72
42,7473.6,34.6,1350,260,0.975294741,0.000292795,0.000285562,8000000,72
