,time,passes,recirculated,discarded,keff,keff_relative_uncertainty,keff_absolute_uncertainty,power_normalization_value,threshold
0,7020,32.5,,,0.967772735,0.000295786,0.000286254,10000000,64.8
1,7030.8,32.55,1350,320,0.971971053,0.000288019,0.000279946,10000000,64.8
2,7041.6,32.6,1350,341,0.972228815,0.000286069,0.000278124,10000000,64.8
3,7052.4,32.65,1350,358,0.972595947,0.000287296,0.000279423,10000000,64.8
4,7063.2,32.7,1350,334,0.973340513,0.000292954,0.000285144,10000000,64.8
5,7074,32.75,1350,347,0.974096909,0.00027766,0.000270468,10000000,64.8
6,7084.8,32.8,1350,365,0.974893997,0.000291582,0.000284262,10000000,64.8
7,7095.6,32.85,1350,337,0.975041959,0.000291284,0.000284015,10000000,64.8
8,7106.4,32.9,1350,365,0.976873275,0.000283041,0.000276495,10000000,64.8
9,7117.2,32.95,1350,356,0.977399223,0.000281542,0.000275178,10000000,64.8
10,7128,33,1350,331,0.977667692,0.000288544,0.0002821,10000000,64.8
11,7138.8,33.05,1350,390,0.978804663,0.000279582,0.000273656,10000000,64.8
12,7149.6,33.1,1350,338,0.980882074,0.000282568,0.000277166,10000000,64.8
13,7160.4,33.15,1350,338,0.982297812,0.000284542,0.000279505,10000000,64.8
14,7171.2,33.2,1350,323,0.98264708,0.000275365,0.000270587,10000000,64.8
15,7182,33.25,1350,300,0.982137746,0.000285947,0.000280839,10000000,64.8
16,7192.8,33.3,1350,298,0.982221828,0.000279832,0.000274857,10000000,64.8
17,7203.6,33.35,1350,324,0.982352943,0.000280178,0.000275234,10000000,64.8
18,7214.4,33.4,1350,318,0.983354052,0.000292681,0.000287809,10000000,64.8
19,7225.2,33.45,1350,290,0.982426211,0.000284432,0.000279433,10000000,64.8
20,7236,33.5,1350,300,0.983266767,0.000296589,0.000291626,10000000,64.8
21,7246.8,33.55,1350,286,0.983298757,0.000285609,0.000280839,10000000,64.8
22,7257.6,33.6,1350,298,0.981983694,0.000286364,0.000281204,10000000,64.8
23,7268.4,33.65,1350,336,0.982331092,0.000268087,0.000263351,10000000,64.8
24,7279.2,33.7,1350,332,0.981799541,0.000279351,0.000274266,10000000,64.8
25,7290,33.75,1350,304,0.982353794,0.000293298,0.000288122,10000000,64.8
26,7300.8,33.8,1350,262,0.982277996,0.000286559,0.00028148,10000000,64.8
27,7311.6,33.85,1350,283,0.981943499,0.000286336,0.000281165,10000000,64.8
28,7322.4,33.9,1350,307,0.981787025,0.000284687,0.000279502,10000000,64.8
29,7333.2,33.95,1350,301,0.982453258,0.000302557,0.000297248,10000000,64.8
30,7344,34,1350,290,0.981877174,0.000277696,0.000272663,10000000,64.8
31,7354.8,34.05,1350,289,0.981963277,0.000283231,0.000278123,10000000,64.8
32,7365.6,34.1,1350,277,0.982242746,0.000277005,0.000272086,10000000,64.8
33,7376.4,34.15,1350,277,0.981436934,0.000301279,0.000295686,10000000,64.8
34,7387.2,34.2,1350,299,0.98082674,0.000280865,0.00027548,10000000,64.8
35,7398,34.25,1350,273,0.981105395,0.000282958,0.000277612,10000000,64.8
36,7408.8,34.3,1350,269,0.979941363,0.000283602,0.000277913,10000000,64.8
37,7419.6,34.35,1350,300,0.98034365,0.0002944,0.000288613,10000000,64.8
38,7430.4,34.4,1350,310,0.979798355,0.00027853,0.000272903,10000000,64.8
