Step,time,passes,recirculated,discarded,keff,keff_relative_uncertainty,keff_absolute_uncertainty,neutrons_per_cycle,power_normalization_value,DEM_step_increment,threshold_fuel,time_step
21,262.7520000000001,1.0501678657074345,1563.0,307.0,1.009633913193536,0.0005672906100947,0.0005727558385879,50000,10000000.0,1,72,12.512
22,275.2640000000001,1.1001758593125504,1563.0,293.0,1.0088801448938465,0.0005814841870472,0.0005866478508816,50000,10000000.0,1,72,12.512
23,287.7760000000001,1.1501838529176662,1563.0,287.0,1.0089188065325958,0.0005709905783555,0.0005760831328558,50000,10000000.0,1,72,12.512
24,300.2880000000001,1.2001918465227823,1562.0,320.0,1.0094555725695242,0.0005248842458539,0.0005298473269312,50000,10000000.0,1,72,12.512
25,312.8000000000001,1.2501998401278982,1563.0,284.0,1.0099389865060628,0.0005772474606235,0.0005829847153453,50000,10000000.0,1,72,12.512
26,325.3120000000001,1.300207833733014,1563.0,332.0,1.0095884569656075,0.0005549155164319,0.0005602362999807,50000,10000000.0,1,72,12.512
27,337.8240000000001,1.3502158273381302,1563.0,295.0,1.009685653194076,0.0005414926464967,0.0005467373564779,50000,10000000.0,1,72,12.512
28,350.3360000000002,1.400223820943246,1563.0,290.0,1.010724218754828,0.0005627064833658,0.0005687410707882,50000,10000000.0,1,72,12.512
29,362.8480000000002,1.450231814548362,1563.0,316.0,1.008793889030153,0.0005553029552693,0.0005601862278361,50000,10000000.0,1,72,12.512
30,375.3600000000002,1.500239808153478,1563.0,323.0,1.0081052421438816,0.0005558012166105,0.000560306120055,50000,10000000.0,1,72,12.512
31,387.8720000000002,1.550247801758594,1563.0,296.0,1.0092600012001878,0.0005461435253034,0.0005512008150032,50000,10000000.0,1,72,12.512
32,400.3840000000002,1.6002557953637098,1563.0,302.0,1.0104634115604876,0.0005865213592065,0.0005926583735769,50000,10000000.0,1,72,12.512
33,412.8960000000001,1.6502637889688256,1563.0,318.0,1.010109868985505,0.0005449804180591,0.0005504900986853,50000,10000000.0,1,72,12.512
34,425.4080000000001,1.7002717825739413,1563.0,304.0,1.0102576776133196,0.0005703376460703,0.0005761879857744,50000,10000000.0,1,72,12.512
35,437.9200000000001,1.7502797761790572,1563.0,321.0,1.009633145016543,0.0005614200472724,0.0005668282880029,50000,10000000.0,1,72,12.512
36,450.4320000000001,1.8002877697841728,1563.0,301.0,1.010448829992224,0.000625786087334,0.000632324819772,50000,10000000.0,1,72,12.512
37,462.944,1.8502957633892887,1563.0,283.0,1.0104900843032008,0.0005675035348861,0.0005734566948094,50000,10000000.0,1,72,12.512
38,475.456,1.9003037569944043,1563.0,299.0,1.0106304808176725,0.0005658419804382,0.0005718571527571,50000,10000000.0,1,72,12.512
39,487.968,1.95031175059952,1563.0,290.0,1.010319767714369,0.0005703927244157,0.0005762790448376,50000,10000000.0,1,72,12.512
40,500.4799999999999,2.000319744204636,1563.0,283.0,1.0107914816870591,0.0005527423703529,0.0005587072795202,50000,10000000.0,1,72,12.512
41,512.9919999999998,2.050327737809752,1563.0,326.0,1.0100970601940096,0.0005298249782547,0.0005351746529524,50000,10000000.0,1,72,12.512
42,525.5039999999998,2.100335731414868,1563.0,324.0,1.009753265105255,0.000558407828022,0.0005638541276056,50000,10000000.0,1,72,12.512
43,538.0159999999998,2.150343725019983,1563.0,323.0,1.0104749396775212,0.0005512016750576,0.000556975479354,50000,10000000.0,1,72,12.512
44,550.5279999999998,2.200351718625099,1563.0,292.0,1.0114396165838138,0.0005763752002275,0.0005829687115266,50000,10000000.0,1,72,12.512
45,563.0399999999997,2.250359712230215,1563.0,338.0,1.0111300490049748,0.0005491462748161,0.0005552582997657,50000,10000000.0,1,72,12.512
46,575.5519999999997,2.3003677058353307,1563.0,289.0,1.009984377672713,0.00053361950738,0.0005389473660752,50000,10000000.0,1,72,12.512
47,588.0639999999996,2.3503756994404466,1563.0,324.0,1.0094824790803745,0.00054350055814,0.0005486542908127,50000,10000000.0,1,72,12.512
48,600.5759999999997,2.400383693045562,1563.0,344.0,1.0096967639445742,0.0005754049181364,0.0005809844838001,50000,10000000.0,1,72,12.512
49,613.0879999999996,2.450391686650678,1563.0,347.0,1.0108196010214012,0.0005561889334043,0.0005622066757563,50000,10000000.0,1,72,12.512
50,625.5999999999996,2.5003996802557937,1563.0,364.0,1.0105308790746272,0.0005320004672002,0.0005376028997879,50000,10000000.0,1,72,12.512
