,r,id,dist,initial,passes,residence_time,insertion_step,avg_r_dist,burnup,integrated_flux_pebbles_thermal,integrated_flux_pebbles_thermal_unc,integrated_flux_pebbles_thermal_rel_unc,integrated_flux_pebbles_fast,integrated_flux_pebbles_fast_unc,integrated_flux_pebbles_fast_rel_unc,integrated_power_pebbles,integrated_power_pebbles_unc,integrated_power_pebbles_rel_unc,922350,922380,942390,942410,541350,551370
22,3.0,11050,42.08323553009446,1,2,43.2,0,26.916372900483385,41.095815784910656,7.931863166086444e+19,1.6862719818457905e+18,0.0212594688856413,3.739711970065274e+19,1.1878678654352835e+18,0.03176361909536445,1901425692.1292536,130085307.2496386,0.06841461530056772,0.0038483662293920954,0.019229922232900046,1.4191532974551058e-05,1.601207571721266e-09,4.858857541975095e-09,7.492322447442541e-06
29,3.0,13363,20.872606961843235,1,2,43.2,0,12.21276675397166,62.77524942408247,7.648660298507783e+19,1.576220836584713e+18,0.020607802870944943,3.7384177242555744e+19,1.1086504432506907e+18,0.02965560632931823,1984611929.603638,130051546.42217532,0.06552996305335568,0.0038414212180390844,0.01922929558440083,1.4798181930708879e-05,3.1160173064666186e-09,1.563877190439242e-09,7.839412947736155e-06
46,3.0,8326,60.25358123373648,1,2,43.2,0,36.5651860652982,,9.18720536300804e+19,1.9420600658613524e+18,0.0211387466495632,3.775048137858913e+19,1.2060955203969674e+18,0.03194914280168693,,,,,,,,,
52,3.0,2849,97.02930066069301,1,2,43.2,0,39.60591736588781,,8.540514996696415e+19,1.8759225360764042e+18,0.021964981465427275,2.3458211064792007e+19,9.39229333482859e+17,0.040038404074747666,,,,,,,,,
57,3.0,3006,91.58804402529935,1,2,43.2,0,33.98312582529925,25.644490669254854,5.883490374670215e+19,1.3446402311664077e+18,0.022854464706110415,2.0989449828220477e+19,8.187198933358582e+17,0.039006257907488504,1453799831.17889,106562791.83430332,0.07329949388416925,0.003882559290718549,0.019236268680384427,8.245905530473982e-06,5.879825630994841e-10,7.878930883585867e-10,5.735172700797897e-06
90,3.0,8532,56.24628444639881,1,2,43.2,0,30.237600133463282,,6.9328256561804255e+19,1.5049721845479048e+18,0.02170791909654129,2.914201996366679e+19,9.487640558583173e+17,0.0325565646115541,,,,,,,,,
98,3.0,6896,62.34949840836723,1,2,43.2,0,31.6964142071651,18.31194519641233,6.7834950508332605e+19,1.5050357901560865e+18,0.02218673086481007,3.314982729953234e+19,1.1029899785775996e+18,0.0332728725435369,1615057644.4976013,117008564.24609415,0.07244853745297258,0.003870020880708085,0.0192337884046471,1.0579126294563198e-05,3.927575082529613e-09,6.203683447250549e-10,6.371923750487236e-06
101,3.0,13606,34.683207863332825,1,2,43.2,0,20.689213565541152,40.50565717618835,9.420689734183879e+19,1.8703786802641987e+18,0.019853946293097308,4.919710421937494e+19,1.3792761333793114e+18,0.02803571785910361,2202738764.265819,145943314.77828768,0.06625538949323895,0.003824751087524225,0.01922647647803256,1.703820163599638e-05,8.782932815263977e-09,1.23640518186634e-08,8.68757076385653e-06
103,3.0,11169,50.53743997784482,0,1,0.0,5,33.522509162770945,74.69252118106299,0.0,0.0,0.020372914992026325,0.0,0.0,0.030740580786334733,0.0,0.0,0.06735604032797589,0.00399213959998326,0.019244838360094756,0.0,0.0,0.0,0.0
143,3.0,14597,28.54244784157957,1,2,43.2,0,14.772038288634713,18.101862969134487,9.946408514222706e+19,1.9498571088864177e+18,0.019603629853914114,4.89010354494259e+19,1.4083557692034596e+18,0.02880012163873298,2340083792.3704634,148926882.86784065,0.0636416881110827,0.0038150242449875985,0.019225005122634628,1.8573159580847922e-05,9.644406308216649e-09,1.3292326649495016e-08,9.237526846717633e-06
148,3.0,12464,29.210303281354214,1,2,43.2,0,19.91634963279314,,7.488172148027867e+19,1.5818825600437268e+18,0.021125082714081856,3.206781672564082e+19,1.0063041493786799e+18,0.03138050083010666,,,,,,,,,
156,3.0,10594,52.23223810770581,1,2,43.2,0,36.29408975450387,,9.409309182859162e+19,1.9880329024559516e+18,0.021128361963889227,4.375127752712426e+19,1.3104506024498852e+18,0.02995228200222157,,,,,,,,,
210,3.0,7393,66.96290166372324,1,2,43.2,0,39.43679803835815,,8.720314978378981e+19,1.8691682849748247e+18,0.02143464186338696,4.024041709288325e+19,1.2665866651023022e+18,0.03147548550947563,,,,,,,,,
219,3.0,2724,96.59945367913711,1,2,43.2,0,36.499785276542404,55.54788845700317,7.194162311018062e+19,1.662920193650542e+18,0.023114855097218657,2.252594807184951e+19,9.340111977070668e+17,0.04146379076822488,1988205949.2524672,134375112.99957508,0.0675861135261656,0.003842676622208635,0.019233986053785485,1.0420866896780663e-05,1.4723335424462002e-09,6.117097949969825e-09,7.824212202568005e-06
223,3.0,2844,97.0146725551459,1,2,43.2,0,40.23087961655737,,8.98338111529176e+19,1.919239744704879e+18,0.021364336212318726,2.4888981937489097e+19,9.895182219263227e+17,0.03975727992457009,,,,,,,,,
240,3.0,4354,82.71208596620238,1,2,43.2,0,37.71320414002979,8.650693999543355,8.371954140273476e+19,1.7772070214999613e+18,0.02122810268334685,3.4090872086000177e+19,1.194589848684342e+18,0.035041340264654434,2167189938.6471624,147045370.63804016,0.06785070750643625,0.0038285707731295464,0.019229268132940163,1.4620912899305563e-05,2.711481800534545e-09,1.609033177384065e-08,8.54327270022978e-06
241,3.0,8875,56.35570637937922,0,1,0.0,5,32.69044733537113,73.13239104246286,0.0,0.0,0.02045819488645803,0.0,0.0,0.030853854897334155,0.0,0.0,0.06954440308742821,0.00399213959998326,0.019244838360094756,0.0,0.0,0.0,0.0
251,3.0,13931,21.47256261108203,1,2,43.2,0,10.510648012137228,44.933168983131495,8.958386707455395e+19,1.7827548447379005e+18,0.019900400629660774,4.746070143425885e+19,1.3376252958964462e+18,0.028183850121753572,2144180415.211319,137947236.42228034,0.06433564799102272,0.0038291544284711288,0.019225550454732107,1.8049261277297903e-05,5.908082553536032e-09,5.6932938916635624e-09,8.45165885225429e-06
