,r,id,dist,initial,passes,residence_time,insertion_step,avg_r_dist,burnup,integrated_flux_pebbles_thermal,integrated_flux_pebbles_thermal_unc,integrated_flux_pebbles_thermal_rel_unc,integrated_flux_pebbles_fast,integrated_flux_pebbles_fast_unc,integrated_flux_pebbles_fast_rel_unc,integrated_power_pebbles,integrated_power_pebbles_unc,integrated_power_pebbles_rel_unc,922350,922380,942390,942410,541350,551370
255,3.0,7250,69.99868528215585,1,2,64.8,0,40.5040754363104,27.048144577430968,1.1701015850008348e+20,2.607076236227625e+18,0.022280768350773278,5.727724624609018e+19,1.8657434207232394e+18,0.032573902256179045,2952499267.8124294,209918072.29929677,0.0710984333130181,0.0037688648030314016,0.019227532645515563,1.608413326421752e-05,1.965231347595408e-08,6.203547652865682e-09,1.1620437919588306e-05
261,3.0,8507,70.86829710898311,1,2,64.8,0,45.77928440856596,54.186224503379556,1.3869680678684369e+20,2.8813881586580813e+18,0.020774726004228382,6.780583593733048e+19,2.087287596048455e+18,0.03078330304750803,3358197405.027,227036879.0117139,0.06760676983189096,0.0037393517374167615,0.01922046628587517,2.257168260723092e-05,1.4007994531538306e-08,1.3637055822764576e-08,1.3219561072489728e-05
306,3.0,18465,49.533569559094786,1,2,64.8,0,6.556364040002507,62.042737598052994,1.6396965462157512e+20,3.0772096740619474e+18,0.018766946122828806,8.327329410069193e+19,2.2712644117454915e+18,0.02727482365473782,3831106091.484358,236520060.3386881,0.06173675557156097,0.0037019794939230793,0.019211744577578904,2.9938220418042403e-05,3.0786671224723e-08,1.0262336968418613e-08,1.5082129431228851e-05
326,3.0,10452,59.50455766174738,1,2,64.8,0,41.467644175982706,31.693619810517404,1.3179102123644584e+20,2.76439150331853e+18,0.020975567814737122,6.4408282253809975e+19,1.9822812968214528e+18,0.03077680738340439,3234378581.145766,222758058.2619996,0.06887198040468362,0.00374807058582807,0.01921845078828743,2.4308877256869423e-05,1.674217343930378e-08,1.2259913651945089e-08,1.2768523447682377e-05
338,3.0,17572,51.55514743383352,1,2,64.8,0,22.625827442935503,42.325419222449504,1.6045768842769623e+20,3.08859175760964e+18,0.019248636745763596,8.335640877556328e+19,2.2879811527394368e+18,0.027448173288028937,3605834728.4102383,232375709.97212678,0.06444435962115712,0.003720232892890387,0.019207960121439816,3.3831939702539295e-05,3.663505719119071e-08,1.3085926719175463e-08,1.4191402186874565e-05
358,3.0,3480,94.39205084974922,1,2,64.8,0,43.86501952984667,34.72282747542853,1.2820956455914604e+20,2.743220617508379e+18,0.021396380425602865,4.913215420266799e+19,1.770334569124289e+18,0.0360320974696476,3424534728.141896,229951922.62952444,0.06714836930688482,0.0037347497028960264,0.019222998858065055,2.0091475695267788e-05,7.961117706856611e-09,1.1584852945021118e-08,1.3501015409976502e-05
371,3.0,3211,98.88374835639587,1,2,64.8,0,48.50718061510431,70.47410148146197,1.4040884195806593e+20,2.8987924025349724e+18,0.020645369352171688,4.722846858368046e+19,1.7980712384671306e+18,0.0380717667201355,3614659307.1117854,239399780.51491335,0.06623024749355992,0.003721432094493073,0.019221228516079346,2.1653385609906698e-05,1.218121932354378e-08,1.678602949456727e-08,1.4237479028128227e-05
384,3.0,13133,52.97855366547267,1,2,64.8,0,37.21498763304297,25.449585761035667,1.4738665267969001e+20,2.913263163476864e+18,0.019766126107824373,7.511307339003057e+19,2.1266510168854653e+18,0.028312661443669892,3520651850.6013265,227439644.50318044,0.06460157213907243,0.0037259866843450946,0.019212090003901568,2.9918483954201123e-05,3.2544454664979067e-08,1.0718660347687708e-08,1.3870175571713703e-05
399,3.0,16671,48.48827946120032,0,1,0.0,7,24.83551263677373,80.25579145036893,0.0,0.0,0.01908099366040692,0.0,0.0,0.028593987367112984,0.0,0.0,0.06368469965121042,0.00399213959998326,0.019244838360094756,0.0,0.0,0.0,0.0
437,3.0,10343,54.45268329368987,1,2,64.8,0,37.73953704510814,66.33653062314511,1.2806693229912877e+20,2.7171152037451694e+18,0.021216368308087083,6.362960743357286e+19,1.9132471785598129e+18,0.030068505146085927,3138816623.8383875,216290973.66313383,0.06890844531039743,0.0037550100182125075,0.019220616857262188,2.242692713407493e-05,7.924294391723644e-09,9.820675837366562e-09,1.2363479061167824e-05
