,r,id,dist,initial,passes,residence_time,insertion_step,avg_r_dist,burnup,integrated_flux_pebbles_thermal,integrated_flux_pebbles_thermal_unc,integrated_flux_pebbles_thermal_rel_unc,integrated_flux_pebbles_fast,integrated_flux_pebbles_fast_unc,integrated_flux_pebbles_fast_rel_unc,integrated_power_pebbles,integrated_power_pebbles_unc,integrated_power_pebbles_rel_unc,922350,922380,942390,942410,541350,551370,discard_step
399,3.0,16671,48.48827946120032,1,1,64.8,0,24.83551263677373,80.25579145036893,1.6029708407295037e+20,3.0586276449776814e+18,0.01908099366040692,8.084765926039183e+19,2.311756947552299e+18,0.028593987367112984,3715383166.900175,236613061.07320064,0.06368469965121042,0.0037110411349717868,0.019211696731764188,3.0215403248979125e-05,3.14854332943016e-08,1.4710213687346622e-08,1.4636618362411719e-05,6
827,3.0,8394,68.83736748518973,1,1,64.8,0,44.72143434535741,76.76297608655916,1.3552654424976007e+20,2.823349132211719e+18,0.020832443915994835,6.822845432171314e+19,2.0969770952738104e+18,0.0307346416699706,3207773173.005055,222222852.03545016,0.06927636090530394,0.0037500346060895247,0.01921798389831065,2.4676938628949815e-05,1.2551855860582735e-08,1.515030409703052e-08,1.2644111627166487e-05,6
946,3.0,9635,62.026609192241544,1,1,64.8,0,40.89387313844496,77.32036310232787,1.3496872404969557e+20,2.847270314360036e+18,0.021095778554679593,6.629115258382782e+19,2.0145381946329969e+18,0.030389246771438054,3258137883.9262753,219506033.778768,0.06737162195058745,0.003745879289134205,0.019215992248035687,2.6547185749090037e-05,2.270132836527945e-08,6.0325189554162685e-09,1.2836957294026166e-05,6
972,3.0,11697,53.10734991249973,1,1,64.8,0,36.80722435694334,77.82086402609318,1.2569917196151379e+20,2.6294854905380905e+18,0.020918876787375966,6.340922036594465e+19,1.8822134867245594e+18,0.02968359295165604,3039257268.052669,205786265.6826763,0.06770939329349006,0.0037618884389265693,0.01921854302605551,2.4469401394182e-05,3.118497772830757e-08,2.6666245463694086e-09,1.1976972079573139e-05,6
1049,3.0,5401,80.46972012523018,1,1,64.8,0,42.02995525132854,75.44678864655604,1.2990873154943653e+20,2.78012627514246e+18,0.021400611352166796,5.5088669039394824e+19,1.8555894259383926e+18,0.03368368592480297,3250268812.0177293,221400542.61726224,0.06811760978004135,0.003746654301922152,0.019222416564553875,2.0701288653062343e-05,6.111399053597605e-09,1.0877373626343562e-08,1.2801233787936513e-05,6
1471,3.0,15620,47.66027172069272,1,1,64.8,0,27.36414739636177,75.58216356443737,1.5033475119162553e+20,2.888966066346581e+18,0.019216887934740617,7.647717617093825e+19,2.1900696571626038e+18,0.028636905372492586,3709814396.5713243,235490168.4674295,0.06347761459038857,0.00371255386268631,0.019210002803643014,3.177820579387404e-05,5.638641139827142e-08,8.571775614150776e-09,1.4609220342584656e-05,6
1474,3.0,17173,49.3538012210952,1,1,64.8,0,22.731857672780336,79.23263699888093,1.6352520313829114e+20,3.129889284667616e+18,0.01914010332719605,7.947737136044415e+19,2.2266013225537917e+18,0.028015538063730805,3887997142.25869,240900307.0340322,0.06196000105444619,0.003698471029629773,0.01921298211646566,2.8694229125606018e-05,5.8911678590055686e-08,1.3400637587759089e-08,1.529428942991513e-05,6
1848,3.0,11732,54.05484708905301,1,1,64.8,0,39.633235750929956,78.57498289946409,1.32033437484419e+20,2.778560768108612e+18,0.021044371948859577,6.6284017241589645e+19,2.0272733476137856e+18,0.03058464818486863,3256993906.7545323,217766966.9822894,0.06686133693117213,0.0037451178697555385,0.01921888471951118,2.4006995912355774e-05,9.908042862251564e-09,6.220210064655538e-09,1.284212404127249e-05,6
2122,3.0,11213,57.14379527190255,1,1,64.8,0,39.43855328197869,79.30724742946927,1.367842371979413e+20,2.819147994254647e+18,0.020610181787065425,6.540285094177426e+19,1.9930859475219878e+18,0.030473991864610896,3232184179.5486393,213417268.22808608,0.06602880788120462,0.0037481569852184067,0.01921781561332054,2.5068577709674713e-05,1.8897193194913536e-08,4.421142270841184e-09,1.273242295864506e-05,6
3166,3.0,15504,52.08088372063859,1,1,64.8,0,31.836465451106545,79.14791596261854,1.5433655336420973e+20,3.028360240915898e+18,0.019621795193063882,7.727752589625123e+19,2.207675673512784e+18,0.02856814640360891,3765874763.583768,235042618.31799915,0.062413816994360834,0.0037076929915859707,0.01921469092636995,2.7494215410051e-05,5.356759982297543e-08,7.797932976808024e-09,1.481899465469016e-05,6
