,r,id,dist,initial,passes,residence_time,insertion_step,avg_r_dist,burnup,integrated_flux_pebbles_thermal,integrated_flux_pebbles_thermal_unc,integrated_flux_pebbles_thermal_rel_unc,integrated_flux_pebbles_fast,integrated_flux_pebbles_fast_unc,integrated_flux_pebbles_fast_rel_unc,integrated_power_pebbles,integrated_power_pebbles_unc,integrated_power_pebbles_rel_unc,922350,922380,942390,942410,541350,551370,discard_step
3451,3.0,3401,93.14502746154511,1,1,64.8,0,41.27235564255159,76.08806992987378,1.196543428658275e+20,2.5279917729339443e+18,0.021127455238032337,3.7133737687772865e+19,1.4659672861668232e+18,0.03947804281090526,3123015161.883898,206965051.44853824,0.06627090831146994,0.0037569627357091997,0.01922802325808797,1.5749675488434428e-05,1.0185242365750722e-08,2.3213941745904985e-09,1.2284359768444183e-05,6
3539,3.0,9005,66.66364117940266,1,1,64.8,0,39.71586350849079,79.01837425874434,1.1920281671019376e+20,2.5678377168529137e+18,0.021541753691071315,5.696931529951168e+19,1.8005782206009188e+18,0.03160610604383291,2907551899.2508183,195206624.3347805,0.06713779533396426,0.0037728786156210176,0.019222844098985184,2.0378860392333372e-05,2.3124789985254284e-08,4.061285019722462e-16,1.1463604052069982e-05,6
4584,3.0,10105,61.41931116998603,1,1,64.8,0,38.96149790601226,77.29457634254439,1.2157177618672586e+20,2.5709871855415547e+18,0.021147895228516657,6.1142720340867965e+19,1.9029215136393298e+18,0.03112261775450334,2932620845.3575506,202252103.8679855,0.06896633234676695,0.0037702452987455207,0.01921949750753715,2.362334768005454e-05,1.2322129735849943e-08,1.3813248739916044e-09,1.1561136417249274e-05,6
4838,3.0,12507,48.91123521247057,1,1,64.8,0,34.61189945652703,72.30076599775477,1.252987570086847e+20,2.645616729023154e+18,0.021114469067237285,6.222512478428689e+19,1.8659564721740157e+18,0.029987187308063185,2895361764.825538,202961876.28505796,0.07009896958326642,0.003772966072318375,0.019218715490811316,2.428152446021099e-05,2.2074139314754258e-08,5.06748913680713e-09,1.1428897068740405e-05,6
5242,3.0,15678,48.4083921785494,1,1,64.8,0,28.374709247004038,80.97303498574563,1.4477752252595134e+20,2.838381735017734e+18,0.019605127132279493,7.104023180860002e+19,2.0679632744170808e+18,0.02910974840268942,3666284102.4192843,225980682.17172283,0.06163752613241405,0.0037159171059930737,0.01921382541686502,2.840125374835259e-05,3.211704307807811e-08,4.623221956773082e-09,1.4440126316152636e-05,6
5489,3.0,11364,60.969646258800346,1,1,64.8,0,43.04891630708895,74.07416291823873,1.4588596075530412e+20,2.9824589172527145e+18,0.020443769241477738,7.113132937296465e+19,2.1304098681171156e+18,0.02995037330100616,3507894366.3207383,232501890.71330154,0.06627961575626394,0.0037271351126480154,0.019213490205304044,2.8543373462746653e-05,2.8446568499960897e-08,1.900315946232257e-08,1.3837305848064722e-05,6
5681,3.0,10726,64.20257189161481,1,1,64.8,0,43.96179175103993,75.00618947598554,1.3943066937606277e+20,2.863380013636282e+18,0.020536227979465343,7.1948718035850215e+19,2.1447208779588787e+18,0.02980902143232377,3536325599.841622,228834433.99759978,0.06470966191796602,0.0037243602591560876,0.019218471095430924,2.4127290795532488e-05,5.333948276377971e-08,1.1993137683391473e-08,1.3936137222810353e-05,6
5696,3.0,15471,46.07854328372579,1,1,64.8,0,25.62679499600997,75.99254612630666,1.4103684476919828e+20,2.768301989274141e+18,0.01962821838367391,6.99993834373013e+19,2.0316370068899098e+18,0.029023641454065868,3329292784.7493005,208521127.54568183,0.06263225886917113,0.0037401731398433473,0.019216152281292826,2.6531676479843307e-05,1.3198468581172227e-08,1.0138245695212368e-09,1.3093228920273513e-05,6
5811,3.0,3038,97.9405281252746,1,1,64.8,0,44.79369068477299,80.96057469369426,1.337059902873646e+20,2.835717386209009e+18,0.021208603893620677,4.454135791262187e+19,1.7505901509062124e+18,0.03930257704177763,3453997926.1211643,232220995.7320411,0.06723252320907587,0.0037333094396284254,0.019225931387608537,1.750043110209778e-05,8.322346868257839e-09,1.1136047595679237e-08,1.3570409518810112e-05,6
5922,3.0,16845,50.85088409156746,1,1,64.8,0,26.69782219109972,78.55864399576424,1.556394573828924e+20,3.0521447653287956e+18,0.01961035341969961,8.14527169268202e+19,2.2617735318158444e+18,0.02776793233119401,3724291815.789722,234331372.15618113,0.06291971299421177,0.00371004774276602,0.01921345536182368,2.8373091130657922e-05,7.339064049625677e-08,1.3474304326238629e-08,1.4680948941653524e-05,6
6211,3.0,7806,71.99914119169004,1,1,64.8,0,46.291448737034166,76.6290072194246,1.410336004566252e+20,2.964466565086271e+18,0.02101957657953993,6.892682244670513e+19,2.143348364900097e+18,0.031095998463549573,3488653146.0218735,234205202.63790148,0.06713341591581459,0.0037288031302500045,0.019216424857919516,2.5730559498972613e-05,3.355301839709618e-08,2.213283788533976e-08,1.3748874813207625e-05,6
6457,3.0,5408,83.42913807163761,1,1,64.8,0,43.36470114345185,75.51808192848691,1.1753591362084638e+20,2.5837976185556045e+18,0.021983047895390993,5.2763764177622516e+19,1.7937303716696701e+18,0.033995496713071956,2993570446.3468957,207780078.86115852,0.06940878211659125,0.0037656694203993995,0.019225056674863156,1.8400137807743793e-05,1.1990757233465603e-08,8.28766368912584e-09,1.1792458153292289e-05,6
6504,3.0,16172,43.414461295077096,1,1,64.8,0,22.455722710344116,78.6416094575723,1.4394338378010934e+20,2.8667953682883195e+18,0.019916131558138796,7.32168533820731e+19,2.1132251548977329e+18,0.02886255086475963,3322020912.932035,215807187.55551535,0.06496262161246982,0.0037407783530715973,0.019213360340469925,2.9035819292306228e-05,4.660279180546548e-08,4.49397348471352e-09,1.3081999328897537e-05,6
6551,3.0,6240,78.33040229619819,1,1,64.8,0,43.337343830439444,72.22459661974622,1.2316208017763879e+20,2.6588299955032955e+18,0.02158805690573283,5.636542124923731e+19,1.8707824035146337e+18,0.03319024966108893,3115799169.451922,211575990.68304855,0.06790424516361411,0.003757510866957953,0.01922479466250438,1.8729927881421396e-05,5.4993723248389365e-09,3.140020912289349e-09,1.2291493959488584e-05,6
6560,3.0,15585,47.17589534213847,1,1,64.8,0,28.64982283988851,77.82799758905726,1.5329325419040974e+20,2.9542108263411405e+18,0.019271629674399333,7.824705686729635e+19,2.213466376798449e+18,0.028288174219158083,3661710492.668621,238533229.25465328,0.0651425692261139,0.003715999396583078,0.019212233385677003,2.971739471398477e-05,3.666505877880698e-08,1.0918084269768783e-08,1.4411783606439437e-05,6
6784,3.0,15122,43.073754677169354,1,1,64.8,0,27.123111002003395,78.66444222877753,1.4299112332165703e+20,2.8168782406742333e+18,0.01969967208620143,7.065054026468095e+19,2.0323259156776282e+18,0.028765893481689512,3276874938.4031563,216257560.99936092,0.06599506086269644,0.003744320458215589,0.01921622748434808,2.6340667546941036e-05,2.6650668287236693e-08,4.022557448685747e-09,1.289024241691487e-05,6
6973,3.0,15870,44.692242469789306,1,1,64.8,0,24.25372401676515,77.03378958692487,1.3807261356789857e+20,2.699321384411615e+18,0.019550012958103363,6.8619987961268355e+19,1.9531979288815365e+18,0.02846397947466842,3373328834.698503,213985317.0748221,0.06343446712746799,0.0037376927104752614,0.01921365273227363,2.8545914218021228e-05,1.4901776278753383e-08,6.863857299916909e-10,1.3274649723114798e-05,6
7206,3.0,11463,57.110420109657404,1,1,64.8,0,41.182263397113694,74.36868723928342,1.420533263455918e+20,2.9031262431560893e+18,0.020436876191784997,7.290290321509993e+19,2.1692815172184312e+18,0.029755763097910774,3465864391.224022,228982394.40614054,0.06606790357578647,0.0037299018504718556,0.019215239961896936,2.728593689603382e-05,1.552043261265342e-08,1.3462159015773493e-08,1.3655019466125378e-05,6
7559,3.0,10987,60.96372627232035,1,1,64.8,0,44.52723123905876,81.57922576460577,1.4824249954776387e+20,3.033067896149895e+18,0.02046017778574111,7.3283219351865926e+19,2.20763507727266e+18,0.03012470108160511,3649492237.972542,243465350.58665097,0.06671211629207546,0.003717237965403934,0.01921457473322327,2.7457901387898768e-05,1.2215702577212105e-08,2.329745812198962e-08,1.439198979258241e-05,6
7642,3.0,13817,48.260202521294914,1,1,64.8,0,31.187110790275504,78.89114650751185,1.3825552382975597e+20,2.8260541677810683e+18,0.02044080474687574,6.911921836514122e+19,2.0266222225196905e+18,0.0293206762237024,3232558987.617994,211000440.7090298,0.06527350050447546,0.00374760660350768,0.01922137744688719,2.1688071413102496e-05,1.2838528029523011e-08,2.2074636974888e-09,1.2715562258888812e-05,6
7712,3.0,10831,59.940058606312505,1,1,64.8,0,42.371108489630544,74.50963677628232,1.4103455749696922e+20,2.870362965758107e+18,0.020352196062442287,6.881250035878528e+19,2.0819523442789087e+18,0.030255438087901224,3337329360.8067284,224030841.94494048,0.06712877805107788,0.003739964120078476,0.019219616994940705,2.3024306159815038e-05,2.0519055702173946e-08,1.3718207225572119e-08,1.3169647292935058e-05,6
7759,3.0,9464,62.029686081077685,1,1,64.8,0,39.12526856901712,77.38491335617964,1.2507474239863298e+20,2.6431929247727805e+18,0.021132907204785653,5.882030877355164e+19,1.844710835282586e+18,0.031361801285070004,2997908373.8940244,199505176.53046405,0.06654812344091893,0.003765866244768741,0.019223940539002806,1.933289680144063e-05,1.9613378562932723e-08,5.225130790655839e-16,1.1799896837805031e-05,6
7848,3.0,15810,44.754469234704786,1,1,64.8,0,25.37845016606052,75.82483213463722,1.4603399980645345e+20,2.873880252990902e+18,0.01967952844405965,7.202583302244703e+19,2.0506276057947274e+18,0.02847072390201505,3456229299.8461027,224074930.95062518,0.064832194715959,0.0037310238427960933,0.01921873459234017,2.414605603156403e-05,2.4102820289024883e-08,6.159334323898438e-09,1.3616401738257927e-05,6
7978,3.0,18875,53.525526743276025,1,1,64.8,0,9.364526011128524,76.22917431853911,1.7168897994020336e+20,3.2251395458295895e+18,0.018784779005343595,8.530929806606954e+19,2.3439562823295283e+18,0.02747597665748232,4035578018.1348925,251313476.5635129,0.062274468597601655,0.003688011650870386,0.019204349625781183,3.6474078958036835e-05,3.108387673239375e-08,1.9900811880012036e-08,1.590092609940873e-05,6
8532,3.0,12392,56.23798690018449,1,1,64.8,0,41.23867829396871,75.95245070297473,1.4489124415319364e+20,2.9257141596834483e+18,0.02019248420967445,7.88460856074355e+19,2.2667244366683425e+18,0.028748725053442364,3556700804.161854,235752531.7494676,0.06628404938464408,0.00372397893922814,0.019220397051147326,2.2124827149675908e-05,1.3042751189635544e-08,1.777957432046745e-08,1.400177727591342e-05,6
8627,3.0,14129,49.78814658015879,1,1,64.8,0,32.597065586696445,72.3971952719759,1.4431003930556924e+20,2.874501082509002e+18,0.019918926613431177,7.350451127488659e+19,2.1499640725310804e+18,0.0292494166037076,3484684161.5573378,227275774.65847766,0.06522134119521064,0.00372801362078255,0.019214959691305853,2.722552155766109e-05,4.3050235368591526e-08,6.893140405483311e-09,1.3756350863445101e-05,6
8867,3.0,14345,52.19981613254299,1,1,64.8,0,35.561492258482346,75.07699326493548,1.510051916898962e+20,2.9246811711304264e+18,0.019368083563223063,7.702561022990755e+19,2.1984207145222828e+18,0.028541425481218435,3645366360.541708,228966278.6687229,0.06281022427460435,0.0037162632086955205,0.019211640071925353,3.0478459459866097e-05,1.9676412623307646e-08,9.458135364349096e-09,1.437432632955698e-05,6
9214,3.0,15409,45.32783950029736,1,1,64.8,0,26.809432675038494,76.20596037864273,1.512197245681941e+20,2.9508325562540703e+18,0.019513542725197612,7.454399240995306e+19,2.1417836172495552e+18,0.028731807192065365,3502644419.6708555,227943633.142736,0.0650775830577047,0.0037275831597790134,0.01921292618562126,2.920040420369878e-05,3.482766219125947e-08,7.549201264303504e-09,1.3790819740541121e-05,6
9647,3.0,12362,59.87468607186915,1,1,64.8,0,43.58126225382848,74.5908820513127,1.4811698985034315e+20,3.023680086345462e+18,0.020414134053092604,7.58518705609662e+19,2.2298569002668897e+18,0.02939752024275571,3654128413.819611,235747348.99486247,0.06451534327674023,0.0037160445041782685,0.0192125513437929,2.9240090783702568e-05,4.4857994412671793e-08,2.1061117589434234e-08,1.4395800573913814e-05,6
9692,3.0,18298,48.47399603509873,1,1,64.8,0,8.553874723120215,73.45038229663507,1.662657388512858e+20,3.152619956701866e+18,0.018961332493892116,8.585492562263584e+19,2.339578361636701e+18,0.027250368510247317,3625558380.2700996,232592584.24159634,0.06415358955667085,0.0037177068825929925,0.01920990107217682,3.1878504597274164e-05,1.9404404363317312e-08,1.2004946022752668e-08,1.4272314314901512e-05,6
9889,3.0,15844,47.33565065266718,1,1,64.8,0,25.826237332517547,72.86384063963132,1.4103961138634349e+20,2.7562610935694234e+18,0.01954246091914789,6.911573844569067e+19,1.9996100195653658e+18,0.028931326851649092,3186257578.052904,212346310.52860865,0.06664442698897298,0.0037510732460460704,0.019214211920420447,2.8092555631764294e-05,3.265156057352435e-08,5.197435632186796e-09,1.2575210688532063e-05,6
9929,3.0,9952,60.91263420976514,1,1,64.8,0,39.1726186935853,76.02708922673555,1.1987268541156477e+20,2.5675736754636293e+18,0.02141917207117078,6.088448380227762e+19,1.9134404844111828e+18,0.03142739110058125,3040769092.4938126,205788402.53306994,0.06767643193988715,0.0037621411589948183,0.019221977016375926,2.13002395343654e-05,9.640686075413081e-09,3.1749057590603583e-09,1.1997915785671667e-05,6
10155,3.0,17154,53.79949618067428,1,1,64.8,0,27.795205446283976,81.79691077674102,1.6189956334866222e+20,3.146538587437248e+18,0.0194351270772791,8.383450323323988e+19,2.3587208010888166e+18,0.028135441973414093,3853884655.3333344,240696503.08628133,0.0624555544892048,0.003701322990863574,0.019210721055421445,3.0866149007671245e-05,7.90735504629116e-08,1.7835484488447848e-08,1.5165519279710792e-05,6
10734,3.0,16785,46.966688477567175,1,1,64.8,0,20.28055966914195,79.01672913839009,1.5823049388763326e+20,3.047499292053769e+18,0.019259873474312343,7.89783095476761e+19,2.211488787992216e+18,0.02800121705133771,3610829406.549124,228621762.62544367,0.06331558123759104,0.0037196921872465344,0.019212759743827624,2.926404033593642e-05,2.9590171368948484e-08,6.508724504903904e-09,1.423536168623538e-05,6
10772,3.0,16736,50.14359301776561,1,1,64.8,0,26.431308092378135,80.51678638376525,1.5758172758347134e+20,2.972444600732081e+18,0.018862876085411436,7.716128497010391e+19,2.2352375476219753e+18,0.028968381598207138,3656588909.966021,232374268.0371025,0.06354946474944645,0.0037159297801913176,0.019212074179097784,2.9844596213806923e-05,2.133231168414932e-08,7.675925850475582e-09,1.4402904676887296e-05,6
11457,3.0,17968,45.868173649022275,1,1,64.8,0,6.487796738168904,77.25766952644054,1.5359923626419356e+20,2.9346100895969367e+18,0.019105629435222923,7.627851986432392e+19,2.111098457109046e+18,0.027676185390907458,3684473344.4974413,223966213.87650526,0.06078649319338583,0.0037134227774099633,0.0192133163704617,2.8976683339794348e-05,4.449329475415495e-08,3.1917408986330665e-09,1.4508874791493896e-05,6
11761,3.0,16525,44.99581412609174,1,1,64.8,0,21.808722847390737,76.54656740241776,1.4682820822147988e+20,2.8364925370172416e+18,0.019318444128519192,7.2670068079238865e+19,2.0860590086544814e+18,0.028705890386394838,3545734722.657569,223961455.48579293,0.06316362418616903,0.003723819304586821,0.019211902999549838,3.002688333406051e-05,4.25635715042321e-08,3.450099150081897e-09,1.3969957957969787e-05,6
12175,3.0,6795,78.48741441950584,1,1,64.8,0,43.712795450111734,80.10584608829862,1.2700001367737126e+20,2.7512386027968205e+18,0.021663293751967787,5.761313063692784e+19,1.8925590852818094e+18,0.03284944012517783,3138682936.494952,220042413.94003668,0.0701066078964203,0.003755119906101613,0.019217748321125425,2.5120165955113743e-05,9.273859474862887e-09,1.0754544839629384e-08,1.2383188698787108e-05,6
12194,3.0,4263,89.29483491435974,1,1,64.8,0,42.94858275454612,72.45249833071145,1.2063405479441465e+20,2.606232155057395e+18,0.021604447927237074,4.615768802062481e+19,1.6756895380576215e+18,0.036303584731299084,3013027000.338036,211215063.08138117,0.07010062075702761,0.003765169482440654,0.01922762633362056,1.5848242903697043e-05,9.418621011742102e-09,6.8854970874506e-09,1.1850749490102095e-05,6
12441,3.0,17630,48.28408814368083,1,1,64.8,0,16.80244530187175,72.54571444416668,1.4858689223230797e+20,2.923900723728134e+18,0.019678052887442895,7.934037974135746e+19,2.2120850071419686e+18,0.027880948066459577,3420236225.6861377,221631430.1710326,0.06480003588833133,0.003734090424020319,0.019214693727464077,2.762822411133611e-05,4.866158684070133e-08,4.574010486634555e-09,1.3463318458559165e-05,6
12447,3.0,17084,46.35015120107054,1,1,64.8,0,19.65907952333956,78.90332678278457,1.4596365979628187e+20,2.8552277991677184e+18,0.01956122368507815,7.2774747576937144e+19,2.1004726094957268e+18,0.028862657438627547,3530421002.8748713,221974904.55180535,0.06287491049114201,0.003726346124880399,0.01921172545585142,3.038675998140513e-05,3.875980881489288e-08,3.5036786039665465e-09,1.3894092614079653e-05,6
12556,3.0,10138,61.3872587251126,1,1,64.8,0,41.34964406069698,73.92574892391298,1.3759293819587946e+20,2.846318753732656e+18,0.020686517717069114,6.5454555743266914e+19,2.0372194651155484e+18,0.03112418138022593,3499383010.828547,228342759.72558442,0.06525229133792926,0.003728169285147319,0.019218896975483474,2.3755749920143428e-05,4.6861831083032643e-08,8.415209028538575e-09,1.379220796721405e-05,6
12559,3.0,16013,46.939899178535526,1,1,64.8,0,25.388665050024834,79.50220245107748,1.3841120316182438e+20,2.717998994259689e+18,0.019637131476141583,6.9099799251067494e+19,2.0095536506672832e+18,0.029081902877398567,3208168266.995191,210956124.17782855,0.06575594127904413,0.0037491979183450876,0.019217218980734807,2.547170750954874e-05,2.6829508229275157e-08,3.366644755764289e-09,1.2633656268339359e-05,6
13031,3.0,14886,51.52160539168537,1,1,64.8,0,32.75758169744269,76.60183209794563,1.4270449352646327e+20,2.856426089139985e+18,0.020016371023455447,7.015328221362595e+19,2.060678442849085e+18,0.029373941999948753,3361580143.133058,217248232.38174477,0.0646268192729343,0.00373739797613634,0.019210686795262524,3.148602322835748e-05,6.584852428652197e-08,3.4467297096200957e-09,1.3249169203953725e-05,6
13176,3.0,9998,65.20126598277736,1,1,64.8,0,45.27938473881682,78.67683985108876,1.4049764292462051e+20,2.9425295961190415e+18,0.02094362250402849,7.229842404286927e+19,2.148564484094273e+18,0.029717998871182642,3419514541.24759,229207866.9363763,0.06702935875007308,0.0037338900662570356,0.01921649279341839,2.5944094653302683e-05,2.6784528320319342e-08,1.7983860229639694e-08,1.3479731442899524e-05,6
13179,3.0,12554,54.92793519173416,1,1,64.8,0,36.614336676841845,74.92259652012343,1.2842508548021002e+20,2.672151826845672e+18,0.020807086223488976,6.559015311695527e+19,1.953928856411456e+18,0.029789972481499803,3193576406.136365,206267971.7460903,0.06458839417455375,0.003750727745373291,0.019218005214900014,2.4895859606289034e-05,2.033150988779555e-08,5.997199510040839e-10,1.2601560151809328e-05,6
13641,3.0,3037,97.92546981237224,1,1,64.8,0,43.76397056846889,79.27502298641468,1.2409426826189424e+20,2.7338546272047493e+18,0.0220304665597858,3.893442386584515e+19,1.5363641140467087e+18,0.039460301745840635,3273495897.352978,219802851.94332802,0.06714621274493288,0.0037460573167598316,0.019227530423163563,1.5890726417247123e-05,5.8279119215649875e-09,7.48308389832951e-09,1.2898227277683374e-05,6
13758,3.0,12162,54.82321058064487,1,1,64.8,0,37.81637752530717,74.76761447670076,1.2439700502580476e+20,2.636647612149044e+18,0.021195426783804813,6.120469255169745e+19,1.8529704439667625e+18,0.030274973481839218,3031678149.007136,208260422.95860237,0.06869476663504236,0.0037628743302119106,0.01922220699397389,2.10024795639022e-05,9.923317202270856e-09,4.959734439894061e-09,1.1923837433063025e-05,6
13847,3.0,17129,53.338859968139104,1,1,64.8,0,27.234509703222724,80.86028868182478,1.6135801380138005e+20,3.106807065323018e+18,0.01925412312739094,8.65898440791977e+19,2.390848769913234e+18,0.02761119153565505,3814161696.9347496,240204007.3977159,0.0629768810249329,0.003704589685845597,0.019206966572142214,3.433770161497599e-05,2.9302164455394296e-08,2.015378160644723e-08,1.5033351033248627e-05,6
13850,3.0,13285,50.30756813042725,1,1,64.8,0,34.10975131015926,72.46557114262595,1.2814150679515714e+20,2.5887867603175834e+18,0.020202562191311935,6.400027234732653e+19,1.881214867139706e+18,0.029393857215644952,3113137699.2994184,207073919.83976707,0.06651614539452176,0.0037558136285408966,0.019217712899160876,2.5151083131751405e-05,1.2710180041335599e-08,6.053723483088525e-10,1.2272218559312645e-05,6
13920,3.0,9548,65.9486213260758,1,1,64.8,0,45.01451347745139,80.88349908240386,1.4301390660657802e+20,2.978870877366329e+18,0.020829239254060862,6.9600718812861596e+19,2.1193246461882422e+18,0.030449752277509665,3495462371.4120417,237374656.34331903,0.0679093725295713,0.0037287431283351156,0.019217240486473525,2.457091892402064e-05,1.255055215034406e-08,2.1379880986140548e-08,1.3777630703353707e-05,6
14730,3.0,14225,48.47515124275774,1,1,64.8,0,29.92552487425806,77.49079932614782,1.3024803228373485e+20,2.6464371822336425e+18,0.020318442711430698,6.640219553300939e+19,1.929036162735288e+18,0.02905078886700876,3056939650.138499,205984226.16446364,0.06738249679058311,0.0037604172423365218,0.019219486713803132,2.3537805250861463e-05,7.759336365030832e-09,1.6994376400032685e-09,1.2048444015554671e-05,6
14777,3.0,16902,49.06974325408768,1,1,64.8,0,23.48726148834069,77.32413176913312,1.587755267550864e+20,3.039346079944491e+18,0.019142409047917867,7.361114709314579e+19,2.1231933625968054e+18,0.028843367430617092,3840905099.8743215,237170325.58057797,0.06174855129545857,0.0037021022771365803,0.01921240888339488,2.947794516126391e-05,2.6008683778811163e-08,6.437641633750703e-09,1.5104246824851918e-05,6
14988,3.0,8756,66.09764691801435,1,1,64.8,0,42.32697899555401,73.57483288766454,1.2866110271822648e+20,2.749865883845842e+18,0.021372938873904804,6.078903298403326e+19,1.919675951059743e+18,0.03157931384702174,3101156563.074319,214902903.76714545,0.06929766343499354,0.00375868417228025,0.019221920803200333,2.1158285902666213e-05,2.6756384813922798e-08,1.0342447197224607e-08,1.2223369841740173e-05,6
15025,3.0,11682,53.182774097346574,1,1,64.8,0,35.16195702937646,74.30316705767413,1.2944766373573581e+20,2.6590113073934904e+18,0.02054120739345127,6.54855969195192e+19,1.9089362345505956e+18,0.02915047467455552,3268467873.2738156,211448260.04335895,0.06469338792416054,0.0037457277127676794,0.019219364228021063,2.365642114900893e-05,2.150561182970398e-08,4.844345844220974e-10,1.2872291686562907e-05,6
15367,3.0,6558,78.44226552766807,1,1,64.8,0,44.528081959759376,73.02470293121569,1.3406514154064978e+20,2.8365119886596797e+18,0.02115771449657272,5.953181095436035e+19,1.9677040021444436e+18,0.03305298412059009,3402650520.923664,229348341.29185548,0.06740284959667203,0.0037356172087443505,0.019220696393310498,2.2328837832697053e-05,1.019973861270728e-08,1.2219819398625992e-08,1.3422145025983206e-05,6
15390,3.0,15523,45.02404795590862,1,1,64.8,0,25.25573284937203,72.61443885151364,1.3034105488647882e+20,2.5784617144969236e+18,0.019782421714651974,7.1301300794034495e+19,2.0236462891256678e+18,0.02838161809938506,3135623507.151677,205711988.4248137,0.06560481127776636,0.003756040756043166,0.019217110064603415,2.5767348021725776e-05,2.4593324375599616e-08,5.849268057897694e-10,1.2324183455733848e-05,6
