,time,passes,recirculated,discarded,keff,keff_relative_uncertainty,keff_absolute_uncertainty,neutrons_per_cycle,power_normalization_value,DEM_step_increment,threshold,time_step
990,10692.0,49.5,,,0.981661813379616,0.000289211280555626,0.0002839076701200767,200000,10000000.0,1,64.8,10.8
991,10702.8,49.55,1350,293,0.9845165802766276,0.0002892522068699968,0.0002847735935451169,200000,10000000.0,1,64.8,10.8
992,10713.6,49.6,1350,323,0.984769341560889,0.0002803384600030861,0.0002760687206714327,200000,10000000.0,1,64.8,10.8
993,10724.4,49.65,1350,301,0.98396719963311,0.00028292049026146086,0.0002783844825213962,200000,10000000.0,1,64.8,10.8
994,10735.2,49.7,1350,287,0.9838995177589933,0.0003000191442535984,0.0002951886913495813,200000,10000000.0,1,64.8,10.8
995,10746.0,49.75,1350,323,0.9835063812932742,0.00029051566989661635,0.00028572401520901255,200000,10000000.0,1,64.8,10.8
996,10756.8,49.8,1350,323,0.9833302748605565,0.00029005489113868036,0.00028521975582804736,200000,10000000.0,1,64.8,10.8
997,10767.6,49.85,1350,332,0.9839917085833696,0.00030058417357409217,0.0002957723345282911,200000,10000000.0,1,64.8,10.8
998,10778.4,49.9,1350,309,0.9838105361203633,0.00028962753918450605,0.00028493862460033043,200000,10000000.0,1,64.8,10.8
999,10789.2,49.95,1350,316,0.9832947481909615,0.0002834043110868467,0.0002786699707063739,200000,10000000.0,1,64.8,10.8
1000,10800.0,50.0,1350,301,0.9838823093001204,0.0002901146972472294,0.00028543871828950936,200000,10000000.0,1,64.8,10.8
1001,10810.8,50.05,1350,333,0.9834733741816458,0.00029838428891614536,0.00029345300342315255,200000,10000000.0,1,64.8,10.8
1002,10821.6,50.1,1350,309,0.9834805332531227,0.0002850087939385066,0.0002803006006444718,200000,10000000.0,1,64.8,10.8
1003,10832.4,50.15,1350,321,0.9828416910718093,0.00029023313691470384,0.0002852532270903235,200000,10000000.0,1,64.8,10.8
