,r,id,dist,initial,passes,residence_time,insertion_step,avg_r_dist,burnup,integrated_flux_pebbles_thermal,integrated_flux_pebbles_thermal_unc,integrated_flux_pebbles_thermal_rel_unc,integrated_flux_pebbles_fast,integrated_flux_pebbles_fast_unc,integrated_flux_pebbles_fast_rel_unc,integrated_power_pebbles,integrated_power_pebbles_unc,integrated_power_pebbles_rel_unc,922350,922380,942390,942410,541350,551370
16,3.0,7682,55.683546710113134,1,2,32.400000000000006,0,26.11217857734964,36.140984320200445,4.484808643993458e+19,1.0280167651295859e+18,0.02292219906654027,2.1247246158747017e+19,7.527109781728673e+17,0.03542628407225343,1150518406.8641543,88191160.7499026,0.07665341138719882,0.003905386975957166,0.019237059417774312,7.4507722593242545e-06,2.3039632682722532e-10,6.351759450900964e-09,4.538420094324892e-06
25,3.0,6910,59.025409310594966,1,2,32.400000000000006,0,27.564372274193428,52.45209302078569,4.3450771801848e+19,1.0152836986977023e+18,0.023366298378490975,1.8367496906200844e+19,6.556952545420285e+17,0.035698672382553476,1123165205.479181,82365566.09309982,0.07333343811871364,0.00390750864072399,0.01923683291556534,7.740580259373869e-06,6.211000966384745e-10,3.09880311712339e-09,4.424399554480158e-06
47,3.0,2481,96.20762443192214,1,2,32.400000000000006,0,30.97470839292193,55.61864445966117,3.658465922688399e+19,9.385437871366523e+17,0.025654025675520567,1.1323876314503682e+19,5.312043932293622e+17,0.046910119686577,922728067.3891773,73967890.15403251,0.08016217645066519,0.003922690068024722,0.019239241826998075,5.370387495817084e-06,6.193353861492891e-10,3.2288832102885137e-09,3.6354293455569843e-06
169,3.0,10277,32.09109521507598,1,2,32.400000000000006,0,18.02212409174441,52.347289464815745,4.824003676455782e+19,1.0795851468945623e+18,0.022379442871563866,2.2441482819414823e+19,7.48346964630853e+17,0.03334659169595669,1300421622.4031425,92200247.20843512,0.07090027235786164,0.0038938466546449414,0.01923736198345443,7.189630587107256e-06,4.387572090598273e-10,4.562027825485506e-09,5.124640656748398e-06
183,3.0,2538,96.20228472829872,1,2,32.400000000000006,0,32.61119862906562,18.288066514608623,4.459396940287074e+19,1.0652678059457836e+18,0.0238881584261303,1.407464104732283e+19,6.339880261536812e+17,0.04504470302454168,1153905930.0728805,86340272.83003482,0.07482436009717151,0.003905276165187674,0.01923927533461892,5.222221282479652e-06,2.8374858542524226e-10,5.396303007421212e-09,4.557322876025676e-06
184,3.0,2601,96.27778885928473,1,2,32.400000000000006,0,34.57473690704931,20.681948912219877,5.148963387971313e+19,1.1991127133672123e+18,0.023288429592809003,1.669707397442735e+19,6.91625669158181e+17,0.04142196831717045,1345100655.3037195,97469497.63745806,0.07246260512411225,0.003891068892964014,0.019237968214095156,6.4661978771936985e-06,7.361311962200913e-10,1.1324428080087928e-08,5.3017391753868e-06
193,3.0,2439,96.25338353890038,1,2,32.400000000000006,0,29.645616141230555,43.590334234765244,3.355578465752109e+19,8.483068465570767e+17,0.025280495008986173,1.1137011650704656e+19,5.077901868527163e+17,0.04559483304667169,970989389.1776863,74528174.5581824,0.07675488052583045,0.003919165445802615,0.019239170597609302,5.516661334669697e-06,1.5131416890305724e-10,2.2725929495731583e-09,3.825999991226202e-06
233,3.0,4409,80.7751940652879,1,2,32.400000000000006,0,35.79213114244394,44.65573398792178,5.906010986410875e+19,1.349879301887762e+18,0.022856024226736042,2.509884020793662e+19,8.805205070920101e+17,0.0350821193249231,1593283923.524936,109663200.35332271,0.06882841076479763,0.003872062530064406,0.019233589870333086,1.0517513776654392e-05,1.1240940257071758e-09,1.9297070461221255e-08,6.284902964041373e-06
259,3.0,7551,58.12902690404062,1,2,32.400000000000006,0,30.42201663576569,68.69206460279044,5.683763860428577e+19,1.243157763109968e+18,0.021872086765691724,2.9057025852751364e+19,9.300164329998104e+17,0.032006594126760865,1355897097.208824,96541006.94657235,0.0712008360703083,0.0038891357436284433,0.019234439533308428,9.820148337077889e-06,2.0117907493771193e-09,1.1856951518188824e-08,5.364587891161339e-06
265,3.0,8398,53.596379993245044,1,2,32.400000000000006,0,28.88063860295003,24.79206868441088,5.7433890597424914e+19,1.217614870053689e+18,0.02120028536092733,2.9146807427581366e+19,8.835761885499479e+17,0.030314681659227884,1523552532.7313828,104205575.71086015,0.0683964441475761,0.003876720817532935,0.019233473146112692,1.0752810574928641e-05,6.301186355098057e-10,1.2804881180007572e-08,6.012813776333823e-06
279,3.0,8060,54.16786743298034,1,2,32.400000000000006,0,28.291089597789515,46.89017492245566,5.7254247202104795e+19,1.2496460791356452e+18,0.021826259888187045,2.8330067280104194e+19,9.02052690526283e+17,0.03184082415362924,1301748971.4555848,95829467.60320432,0.07361593494946271,0.0038932068690448415,0.019234111652098953,1.0169214105413524e-05,2.0375385426052646e-09,1.4673050731539399e-08,5.140166794266267e-06
301,3.0,4288,71.10994869387915,1,2,32.400000000000006,0,25.103235481377638,62.800827707034735,3.0186367998453555e+19,7.448427533896568e+17,0.024674805310390936,1.1683146530267978e+19,5.140650960723588e+17,0.04400056908817762,841253598.0509362,63129580.23450592,0.07504227070263722,0.0039288090753470985,0.019239577266395486,5.101378475629618e-06,1.0887164777444388e-10,2.4438633582293085e-16,3.312859851815663e-06
332,3.0,2482,96.21631820552795,1,2,32.400000000000006,0,31.001760060966227,67.52529530803689,3.445907907678564e+19,8.739973599893499e+17,0.02536334061748457,1.1622120351573533e+19,5.222146439136143e+17,0.044932820183961615,909740460.3643214,75325926.15117894,0.08279935809495971,0.003923436279959352,0.019240415334971242,4.318328003623293e-06,6.146709906293838e-11,4.0106589860870835e-09,3.594735786866416e-06
334,3.0,2475,96.21183827719648,1,2,32.400000000000006,0,30.263806306075857,15.172498750403886,3.3769018389330964e+19,8.723465053542847e+17,0.025832746907144186,1.1144639761427665e+19,5.342031523224257e+17,0.04793364018560189,871706778.0404309,71004480.73670097,0.08145454701673513,0.003926464766926947,0.019238939287817454,5.7696444635943095e-06,8.29176219473685e-11,1.960699608202092e-09,3.4388434536123955e-06
351,3.0,2608,96.29382261882796,1,2,32.400000000000006,0,32.39966465453275,64.29095821058748,3.745364218037009e+19,9.502731703272607e+17,0.025371982936957475,1.0683272036513688e+19,4.9224673926609376e+17,0.046076402209330104,994398173.2011195,79152186.17424427,0.07959808083661427,0.003917314361664857,0.01923953030394248,5.187466469586093e-06,2.732393330825994e-10,5.247996674838373e-09,3.925506650229686e-06
649,3.0,2922,91.5937821065641,1,2,32.400000000000006,0,33.567926679690075,52.22747486496412,4.731686465768517e+19,1.1357153722254467e+18,0.0240023378649833,1.6498150751558152e+19,6.937526127158309e+17,0.04205032571000784,1255329776.454839,93435066.97542551,0.07443069441027227,0.003897661160063094,0.019238174909479853,6.3935789194400314e-06,1.8680157709518477e-10,9.43787563273128e-09,4.950383235942826e-06
661,3.0,2554,96.2223241025921,1,2,32.400000000000006,0,31.77832989822226,21.67708358799762,3.927161868810168e+19,1.0255767438035773e+18,0.02611495981229573,1.1093229062388781e+19,5.3563998539932134e+17,0.048285308307153836,1148969207.0570893,87772799.17768769,0.07639264711236642,0.0039055291041554976,0.01923975131458758,4.79245978010102e-06,2.3673184144017386e-10,6.253860767986413e-09,4.52958831367378e-06
675,3.0,2685,93.73561329911212,1,2,32.400000000000006,0,32.967584929995496,21.7521444836963,5.078580616039399e+19,1.1642057482192673e+18,0.022923841053983096,1.5989736770571344e+19,6.840178327045112e+17,0.04277855492677194,1392959904.096174,99756680.86756517,0.07161489758191754,0.003887458923636583,0.019238926852968668,5.545074520969448e-06,2.930768638418321e-10,1.0535667750929667e-08,5.4999252824664726e-06
735,3.0,7602,59.71546044156676,1,2,32.400000000000006,0,33.53486122126287,71.84159809052852,6.128649273332891e+19,1.3590010179377382e+18,0.02217456012454575,2.9107899449900204e+19,9.408314233143049e+17,0.03232220260117501,1509887251.525296,106602028.48106393,0.0706026416034535,0.003878216680033248,0.019232275629854183,1.1794274785855619e-05,2.637057532769209e-09,2.3332972083809515e-08,5.952477229126035e-06
743,3.0,5804,66.63991023508554,1,2,32.400000000000006,0,26.670408763608147,28.21667158773752,3.844194609579719e+19,9.175091229514431e+17,0.023867395283917563,1.7841752710894316e+19,6.449054119613763e+17,0.03614585530980888,1001961980.3119613,72993082.25219825,0.0728501516888613,0.003916283949087436,0.019238227980823332,6.411662961985044e-06,1.240414479141912e-10,5.456666387016976e-16,3.954126135511427e-06
751,3.0,6917,65.20105176509007,1,2,32.400000000000006,0,33.79794251577929,40.026800085394555,5.667168999729327e+19,1.2475499419712148e+18,0.022013635768243365,2.836328808328397e+19,9.076895926305627e+17,0.032002269622805606,1506074919.2652452,104293402.37869352,0.06924848229301513,0.003877856118944268,0.0192321515789571,1.2021619146851551e-05,1.8117021801991537e-09,1.2265199092445664e-08,5.938672431455418e-06
867,3.0,6093,64.28021873805903,1,2,32.400000000000006,0,29.981111093724557,31.233790794381278,4.047271423617042e+19,1.0112116240939137e+18,0.02498502122178391,1.7460094092326355e+19,6.884995699852068e+17,0.039432752558177776,1095005387.9767025,85327045.6232042,0.07792385915184158,0.003909044105505322,0.01923822461299151,6.3788487811222926e-06,1.395067314084118e-10,5.59124719434315e-09,4.3344600508733565e-06
925,3.0,8306,47.15653635626361,1,2,32.400000000000006,0,24.654500769611104,8.363748045512386,5.3102004102660104e+19,1.16961685713365e+18,0.022025851507835256,2.28074214649899e+19,7.829001215182894e+17,0.03432655123772169,1343358137.2712026,95829759.14411528,0.07133597250453011,0.0038899800866949775,0.01923444134320352,9.984987265771923e-06,2.205367468741511e-09,9.390090176357576e-09,5.303954434693534e-06
988,3.0,3362,83.52838861067525,1,2,32.400000000000006,0,30.063901592030994,58.285374340273634,4.99054780508261e+19,1.1436819742281743e+18,0.022916962604053095,1.746418486981539e+19,7.087583163074328e+17,0.04058353261779947,1308971463.3054023,93984982.67666775,0.07180063531663079,0.003893600420703242,0.019239399747809013,5.234857179136973e-06,1.9091855286971834e-10,8.859126518732374e-09,5.162398820421641e-06
991,3.0,6464,64.36398614529638,1,2,32.400000000000006,0,29.812315331825598,43.73341178464167,5.445087132043793e+19,1.1749948999337132e+18,0.021578991693612867,2.4221230905900896e+19,8.055395544873032e+17,0.03325758123593354,1390269054.878171,95687246.49986556,0.06882642332008937,0.00388708410762225,0.019234482685692587,9.889063951876063e-06,1.5017279817626806e-09,6.1442980924184945e-09,5.484556358105322e-06
999,3.0,10873,26.96401372119297,1,2,32.400000000000006,0,16.272574988635647,31.439321099507854,5.501914670720973e+19,1.152419114887239e+18,0.02094578312927971,2.6700872625631162e+19,8.546844155969215e+17,0.03200960611214174,1469745490.423008,97429158.30418126,0.0662898161205721,0.003881353782140064,0.019234727621473373,9.615723320076014e-06,7.908725984122391e-10,6.037960908974526e-09,5.787195758515739e-06
1000,3.0,7318,56.768213372274104,1,2,32.400000000000006,0,28.757351542055403,34.18823223583847,5.4123414312403935e+19,1.195863885479586e+18,0.02209513018851657,2.0437939764608086e+19,7.679966647140707e+17,0.03757700989235681,1305622731.3863747,96028881.16786732,0.0735502521972018,0.0038939908220316185,0.019236632522726053,7.785132500207443e-06,2.718080978369947e-10,8.951332834021554e-09,5.1405038124979216e-06
1095,3.0,10349,32.47523504300981,1,2,32.400000000000006,0,19.542859257504812,71.006647154734,5.488622995392732e+19,1.170599920596648e+18,0.02132775236301117,2.5206250602728706e+19,8.088543850546751e+17,0.03208943677514309,1467990801.9616706,97591143.99616377,0.06647939746335814,0.003881356183711633,0.019234689864266588,9.569040442889886e-06,5.068974976542988e-10,6.7661270715915795e-09,5.774153232122138e-06
1100,3.0,7654,59.927397621612315,1,2,32.400000000000006,0,33.33707066291844,52.3320728621607,5.996847764451233e+19,1.2957104657772908e+18,0.021606525906129288,2.9060908843377586e+19,9.241958596355049e+17,0.031802028787757994,1375348257.1230905,102110381.86529008,0.07424329171644228,0.0038874710179872237,0.01923240457737126,1.1758224197677265e-05,1.4303520537536523e-09,1.8125277711379033e-08,5.435941847438855e-06
1105,3.0,11717,11.373225143519575,1,2,32.400000000000006,0,10.689897480881104,48.93130657658445,5.293027773648843e+19,1.1513976008036724e+18,0.021753099549861914,2.3866957154029953e+19,7.702440285508275e+17,0.03227240169661809,1363618033.0736983,93865116.10523377,0.06883534379026558,0.0038889932664053187,0.019233423569547832,1.092200380725268e-05,6.159355465692905e-10,6.521208280625982e-09,5.381250216805845e-06
1111,3.0,11378,24.853922155843065,1,2,32.400000000000006,0,16.436557444495875,23.88941292555183,5.86181748532952e+19,1.2143571972535068e+18,0.020716393853829486,2.9252021956771197e+19,8.66288797554966e+17,0.029614663862729644,1344089877.9674618,95703281.94027087,0.07120303746725164,0.003890328787878588,0.019234221705127296,1.0146416247563904e-05,4.1836132236826553e-10,1.1532111389840415e-08,5.299878097857667e-06
1231,3.0,7996,51.662246603949775,1,2,32.400000000000006,0,23.102385729098636,7.166373611717049,4.3601983154959516e+19,1.0116080843750725e+18,0.02320096498317203,2.0173365593417118e+19,7.128556258147236e+17,0.03533647484420445,1184110715.0900152,85412076.07437699,0.07213183276353008,0.0039024549943050607,0.01923716770198773,7.385060005485022e-06,3.7397128671600364e-10,4.13042295115394e-09,4.677347700238584e-06
1247,3.0,4863,73.81899952450347,1,2,32.400000000000006,0,28.453037655753352,9.777215189128501,4.194510092034167e+19,1.002756818978413e+18,0.023906410927053385,1.7022993084238973e+19,6.515233779683899e+17,0.03827313885074734,1122358296.9395928,81965606.89873363,0.07302980440580746,0.0039067709334502775,0.019236889345404865,7.655710255356133e-06,4.0291617448626016e-10,2.8839717686631576e-09,4.4374644340126e-06
1252,3.0,8150,51.183025593196035,1,2,32.400000000000006,0,25.191597308672875,7.216544743376193,5.489527225256594e+19,1.1908002954093686e+18,0.02169221950354218,2.527354691334738e+19,8.161746283156722e+17,0.032293632196303906,1360237037.15351,97195364.19903125,0.07145472556932166,0.0038894415339310907,0.019234546746648085,9.87855813557836e-06,1.1123968516483778e-09,7.783798558902025e-09,5.375125566736597e-06
1261,3.0,9950,44.457225789909465,1,2,32.400000000000006,0,26.35667969342233,35.03538617105544,6.5840886206320615e+19,1.3754657888218107e+18,0.020890754485163174,3.1719939759372005e+19,9.775174396814203e+17,0.030817127872779203,1484364515.398439,104732324.3503705,0.07055701161264814,0.0038795599595260063,0.019233051989559075,1.0847866374762208e-05,1.4349500793623846e-09,2.084928095111328e-08,5.856755957148041e-06
1327,3.0,8598,47.71527492473399,1,2,32.400000000000006,0,25.246533101431524,37.14976726162118,5.232354802149187e+19,1.1598576130804285e+18,0.022167029128147383,2.32743226443593e+19,7.992977328625498e+17,0.034342470243973584,1317531050.454166,94460963.74253723,0.07169543648324311,0.003892446525128766,0.01923452754163528,9.889590127403388e-06,3.1981968700373004e-10,5.325496908789995e-09,5.201130394403205e-06
1331,3.0,9444,43.974379449259644,1,2,32.400000000000006,0,25.343498473690342,46.691331487568185,5.721816097151051e+19,1.2505428050256271e+18,0.021855697278496677,2.8672052190193787e+19,8.939743184165633e+17,0.0311792930790742,1476573851.5212903,103555270.14989041,0.07013213056915445,0.0038805478068866766,0.01923403457563445,1.0291069519943401e-05,5.391303689454839e-10,1.3783717360600804e-08,5.803770140909295e-06
1364,3.0,4029,76.76735239978709,1,2,32.400000000000006,0,27.718621664267513,13.769027598376656,3.2763094800615748e+19,8.604058140034e+17,0.02626143284813343,1.317081816851237e+19,5.7629885074003795e+17,0.04375573661154949,895101297.748195,72169165.85057497,0.08062681400656085,0.003924273753541742,0.019240485845278165,4.222417815862984e-06,6.499693312151423e-11,2.9024182550805366e-09,3.534396986192714e-06
1366,3.0,4470,76.85161928041427,1,2,32.400000000000006,0,32.33358582498546,16.42737707886372,5.058986961568026e+19,1.1940484133985142e+18,0.02360252007900848,1.7343444851907887e+19,6.765977766730627e+17,0.03901172935656048,1370608348.2984133,98913185.5912262,0.0721673596356138,0.0038890503678416354,0.019237447084427307,6.995080731030686e-06,2.749690438150759e-10,1.075088597686159e-08,5.40279059492329e-06
1369,3.0,12396,17.924217013638657,1,2,32.400000000000006,0,12.809327608868308,6.571131075368752,6.403255868498709e+19,1.336711913915197e+18,0.020875503671362722,3.423128206063057e+19,9.987559516839231e+17,0.029176703049419037,1674109327.6001055,110182126.7730869,0.06581537116876163,0.003865091995567199,0.01923023956515883,1.3789930074671445e-05,8.167535130340875e-10,1.79876498980365e-08,6.5945752020270805e-06
1400,3.0,9459,41.7749792196079,0,1,0.0,4,23.573962131736504,72.75285428884905,0.0,0.0,0.02083897331126841,0.0,0.0,0.03284842854464416,0.0,0.0,0.065772416507355,0.00399213959998326,0.019244838360094756,0.0,0.0,0.0,0.0
1410,3.0,6306,65.1288895399829,1,2,32.400000000000006,0,29.732331611231086,53.77997563066151,5.4711166711735665e+19,1.187370686415863e+18,0.021702529077325807,2.6306475030223045e+19,8.862362073506144e+17,0.03368890002679695,1356938734.4478173,95748591.39310631,0.07056220665118645,0.0038896664627579695,0.019236105508203226,8.280659392965164e-06,1.7613250923601183e-09,8.751349911067269e-09,5.349352086190295e-06
1425,3.0,8255,59.28265774708576,1,2,32.400000000000006,0,34.832886894176994,30.75310844451034,6.194033411970397e+19,1.3856328015599498e+18,0.022370444416430154,3.191721215152218e+19,1.0387353282704906e+18,0.032544675999246125,1522490460.4847505,109018096.30027813,0.07160510960808747,0.003876526909012989,0.01923287897406825,1.108812099464443e-05,2.218470320589903e-09,2.4438488519779095e-08,6.005161304603492e-06
1440,3.0,7696,55.43043187890037,1,2,32.400000000000006,0,27.028254297957183,63.37888945903488,4.640508074029754e+19,1.0636819608959251e+18,0.022921670298317966,1.955442353554996e+19,6.947005258079177e+17,0.035526515243210904,1182138134.3747113,87307390.6551973,0.0738554895713421,0.0039027140531450854,0.01923674949186973,7.809156265187365e-06,4.59107769457914e-10,4.836057633470471e-09,4.653080338185813e-06
1455,3.0,9149,48.898661535658015,1,2,32.400000000000006,0,28.568512686526763,6.30035325261649,6.037349448514506e+19,1.2867394351923907e+18,0.0213129858751011,2.984946716523015e+19,9.258165880905441e+17,0.031016184743457405,1543207376.841583,105924533.75179914,0.0686392090534134,0.003874835207537791,0.019232987069081185,1.1123699757509036e-05,1.2318284006411105e-09,1.5031497473906285e-08,6.090325161295177e-06
1470,3.0,11903,28.41219229888236,1,2,32.400000000000006,0,17.139126444109092,32.6774485432129,6.1641550272652575e+19,1.3037550014295311e+18,0.02115058747975625,3.2485403800663003e+19,1.0076451252373907e+18,0.031018396182497982,1519122860.4477494,101505338.7335526,0.06681838669956866,0.003877188902486452,0.01923036133362319,1.3776685913387515e-05,1.0442839585734155e-09,1.340988395609892e-08,5.986519977276425e-06
