,r,id,dist,initial,passes,residence_time,insertion_step,avg_r_dist,burnup,integrated_flux_pebbles_thermal,integrated_flux_pebbles_thermal_unc,integrated_flux_pebbles_thermal_rel_unc,integrated_flux_pebbles_fast,integrated_flux_pebbles_fast_unc,integrated_flux_pebbles_fast_rel_unc,integrated_power_pebbles,integrated_power_pebbles_unc,integrated_power_pebbles_rel_unc,922350,922380,942390,942410,541350,551370
194,3.0,3499,100.5063201817852,1,2,86.39999999999999,0,48.95964649207511,70.09270865625956,1.6981679255995253e+20,3.5041142492896184e+18,0.020634674559952708,5.6521616374475145e+19,2.1688122799536195e+18,0.03837137752014189,4313281122.448507,279509791.64700294,0.06480212713061802,0.0036674773381652143,0.019223291463646878,1.97060634880153e-05,9.507907915236528e-09,1.9646981277811035e-16,1.6980369272295766e-05
200,3.0,17113,65.01327472049573,1,2,86.39999999999999,0,37.11021088880665,,2.1623823619164307e+20,4.2363357296261043e+18,0.01959105754946879,9.835191245769587e+19,2.7965939219092055e+18,0.028434565755008627,,,,,,,,,
258,3.0,14067,61.88963068574982,1,2,86.39999999999999,0,44.21649400042182,16.219342238613525,1.9738444418334074e+20,3.9929278612548086e+18,0.02022919221307011,1.0093920623090024e+20,2.91742743026022e+18,0.028902817242158138,4601848921.548202,300585321.29115003,0.06531838102803775,0.00364475675532646,0.019203878946889217,3.686110382764427e-05,6.407810953032093e-08,6.538147373324318e-09,1.811072305721486e-05
311,3.0,16027,61.479485342300116,1,2,86.39999999999999,0,40.12762937501531,,2.1371397283592074e+20,4.2069152644919255e+18,0.019684792756727198,9.016702460868593e+19,2.6811627971326525e+18,0.02973551371766538,,,,,,,,,
313,3.0,19904,70.0264131838607,1,2,86.39999999999999,0,28.420470225553554,30.555272478124778,2.1622497860280304e+20,4.1585401896651054e+18,0.019232468961433838,1.1435292476728258e+20,3.1351227723852416e+18,0.027416201017730586,4815141532.559465,309063546.3954018,0.06418576573617775,0.003629020468504466,0.01919689826146503,4.260353550389924e-05,6.690031681759146e-08,1.246812687957333e-08,1.8966836646603466e-05
318,3.0,20883,70.03306148949937,1,2,86.39999999999999,0,14.496982070580515,13.994296325694984,2.242810469210711e+20,4.2387237015301775e+18,0.01889916138576733,1.141378176501335e+20,3.116331854853433e+18,0.027303236727426492,5316512031.38273,328159315.6805552,0.061724550559364925,0.003593574593139504,0.01919333882700903,4.5180400088308374e-05,8.189917897900114e-08,1.123514071053359e-08,2.091751104912991e-05
328,3.0,5626,83.59437623317167,1,2,86.39999999999999,0,45.44292996580738,42.52927219727111,1.7031986018060904e+20,3.576915660859251e+18,0.021001166024128076,6.644367713693814e+19,2.319124139113449e+18,0.03490360917764701,4304426739.373688,285873988.2160889,0.06641395138663338,0.0036679458979086118,0.019215178909122967,2.7072376852881784e-05,2.5114296010708995e-08,1.8273444658632386e-09,1.69583331332147e-05
353,3.0,13885,61.565338606148224,0,1,0.0,9,43.43610829960796,76.68807608028054,0.0,0.0,0.02031167756879848,0.0,0.0,0.029664529046183694,0.0,0.0,0.06736509051224027,0.00399213959998326,0.019244838360094756,0.0,0.0,0.0,0.0
355,3.0,15861,58.120262250253944,1,2,86.39999999999999,0,36.86546585776252,,2.0483365294501554e+20,4.017104594184064e+18,0.019611545937045775,8.434117356522996e+19,2.569084937431577e+18,0.030460625917715405,,,,,,,,,
383,3.0,15136,62.24869180184033,1,2,86.39999999999999,0,42.943467199282544,68.09491060105356,2.028885184112943e+20,4.02160517460202e+18,0.01982174844635342,9.527964021077144e+19,2.8077844144020536e+18,0.029468881370572506,4787063194.166252,303345277.33529973,0.06336771942032665,0.0036324914828873844,0.019200511523010198,3.917837325166475e-05,7.099695692759508e-08,3.6241384544172294e-09,1.882841375842135e-05
393,3.0,4118,96.79872887077681,1,2,86.39999999999999,0,51.22126856516289,69.15254157588288,1.7857936603595574e+20,3.766538712822684e+18,0.02109167927085326,6.238799755504195e+19,2.2982816464061463e+18,0.036838522415765663,4697396338.884691,306631335.52060336,0.06527687114292068,0.0036389211143916093,0.019217671010406813,2.4189644474042104e-05,4.100576282296273e-08,6.276591247692746e-09,1.849703892729913e-05
415,3.0,14951,60.761098478262085,1,2,86.39999999999999,0,41.29577076947223,,2.021189407072146e+20,3.980721387474528e+18,0.01969494483567931,8.109579717780247e+19,2.4946360550641613e+18,0.030761594828332146,,,,,,,,,
438,3.0,19634,70.65513179969435,1,2,86.39999999999999,0,31.1145501741221,15.539759201971535,2.2681898047805093e+20,4.315703045391144e+18,0.019027080697987576,1.1177205558866223e+20,3.162244317448771e+18,0.028291904454958758,5197008273.791991,326599992.78248185,0.06284384699356627,0.003601058573312966,0.019193515886490636,4.519405026017613e-05,1.0194471583415322e-07,2.064716327716823e-08,2.0449616124323856e-05
449,3.0,3378,99.87196577298532,0,1,0.0,9,47.460786268757175,73.1234941019841,0.0,0.0,0.020939576723019864,0.0,0.0,0.03832226282535918,0.0,0.0,0.06457619622918873,0.00399213959998326,0.019244838360094756,0.0,0.0,0.0,0.0
