,r,id,dist,initial,passes,residence_time,insertion_step,avg_r_dist,burnup,integrated_flux_pebbles_thermal,integrated_flux_pebbles_thermal_unc,integrated_flux_pebbles_thermal_rel_unc,integrated_flux_pebbles_fast,integrated_flux_pebbles_fast_unc,integrated_flux_pebbles_fast_rel_unc,integrated_power_pebbles,integrated_power_pebbles_unc,integrated_power_pebbles_rel_unc,922350,922380,942390,942410,541350,551370
35,3.0,11820,56.18014078763242,1,2,75.6,0,40.161142789631505,61.42030759914199,1.507552105620097e+20,3.1419146651109233e+18,0.020841167966254598,7.339657748674177e+19,2.2445733760630461e+18,0.030581444706580523,3650418765.379987,249029108.5644375,0.06821932621160934,0.003715593161571425,0.01921887576172508,2.375383913845348e-05,2.088035782214922e-08,2.9719260757865897e-09,1.4395125177818706e-05
121,3.0,7497,74.52144849823009,0,1,0.0,8,46.40962471847072,79.90605120998514,0.0,0.0,0.020614403281921413,0.0,0.0,0.031488543365087523,0.0,0.0,0.0650708307550841,0.00399213959998326,0.019244838360094756,0.0,0.0,0.0,0.0
147,3.0,18158,59.76967673739754,1,2,75.6,0,29.22477088021558,45.45118493749651,1.955149123332204e+20,3.6529943012236657e+18,0.01868396767095589,9.62075205104839e+19,2.7001364705527844e+18,0.02806575261711007,4583028931.823757,283271935.2413399,0.06180889090058952,0.0036462849619148738,0.01920014101881014,4.0038512540678e-05,8.558277156034617e-08,1.3800306674666626e-08,1.8041382722553653e-05
171,3.0,15533,60.77455340016147,1,2,75.6,0,41.64527403642815,51.22584014490866,1.851576094158167e+20,3.6721691932627917e+18,0.019832666909281798,9.161535902780097e+19,2.6575194156684083e+18,0.029007356887200277,4228159159.215682,274788639.69058824,0.06499013621369001,0.00367354446633934,0.019206775660749128,3.4219270941651654e-05,8.608833524533312e-08,1.789129500911077e-08,1.6652124161777514e-05
201,3.0,3278,99.2698922677073,1,2,75.6,0,48.42513516533052,50.11233579789649,1.5286523844348677e+20,3.256750155129004e+18,0.021304713800796526,5.113317813439127e+19,1.984997129394043e+18,0.038820139913403294,4030186012.6454806,267156548.1944734,0.06628888774766686,0.003690015913867349,0.019221446270560313,2.1466972386138993e-05,7.870967549070856e-09,8.101553350010399e-09,1.5852742092235203e-05
224,3.0,3608,97.26209519927878,1,2,75.6,0,47.26791915479385,31.08845840294094,1.4335821140080096e+20,3.0985545218890813e+18,0.021614070736597997,4.979022425588103e+19,1.9026377533557934e+18,0.03821307860711355,3572946185.1744065,243944163.3231884,0.0682753533583604,0.0037230017703668195,0.019222942838179276,2.0204329848567857e-05,1.3483273811036843e-08,5.284412595940439e-10,1.4073090868632762e-05
228,3.0,3618,95.70741428838924,1,2,75.6,0,45.22866603229257,17.978850670882398,1.4257336273212817e+20,3.016253178857624e+18,0.02115579741585156,4.7197683716852154e+19,1.789967367833363e+18,0.03792489857281379,3721384683.7436705,249538556.81463778,0.06705529742859177,0.0037121929176168766,0.019226517583303706,1.6985852156292678e-05,5.221572397576755e-09,2.0839113337389776e-09,1.4644150069649675e-05
345,3.0,8837,67.36415886173091,1,2,75.6,0,44.109873451165704,63.223867707988845,1.4773636761492233e+20,3.151674433994974e+18,0.02133309817261701,6.823570680027202e+19,2.2247615524866916e+18,0.032604066943992184,3625757070.4664345,252112424.69136247,0.06953373317394636,0.0037185910736065374,0.019217379259039675,2.5041788141490625e-05,1.393043374620584e-08,6.6293214361695295e-09,1.4304472698341248e-05
394,3.0,19684,59.37412538235329,1,2,75.6,0,8.366999319947299,36.30384612694122,1.9315925680754314e+20,3.6170531712629263e+18,0.018725756306190527,9.579432213615754e+19,2.593867874270797e+18,0.027077469900397597,4547704858.28028,275667214.8171538,0.06061677778302387,0.0036493141092787365,0.019203543039774448,3.68362036572995e-05,1.0529855675240874e-07,4.75435273179736e-09,1.7919766134305e-05
397,3.0,9397,65.91328376052292,1,2,75.6,0,44.83463357688502,43.21617297256381,1.587950380957738e+20,3.303113082364132e+18,0.020801110173051696,7.498230654940873e+19,2.358262082039663e+18,0.031450914096457054,3943982922.6617775,267660106.58756962,0.06786543244130655,0.0036949813216499952,0.019215803209739864,2.6309728078408772e-05,3.758922128111026e-08,1.3903236974403975e-08,1.5535167930423385e-05
457,3.0,3859,94.67129508003123,0,1,0.0,8,46.56452481041997,72.40654714476138,0.0,0.0,0.021271308415713456,0.0,0.0,0.03606543855439217,0.0,0.0,0.0677352904141153,0.00399213959998326,0.019244838360094756,0.0,0.0,0.0,0.0
553,3.0,16396,60.61184661879882,1,2,75.6,0,37.380351659396105,50.12642676758837,1.8960837482088035e+20,3.683125844884719e+18,0.019424911206396354,9.183037391223492e+19,2.6417716651309164e+18,0.028767950652751756,4411935551.8165045,282180710.87329614,0.06395848433395979,0.003659974646344128,0.019205568151683526,3.469903708682867e-05,6.059742328719623e-08,1.7634754553896883e-08,1.7389235728382583e-05
605,3.0,11400,56.960571150808136,1,2,75.6,0,40.35805121080966,45.08632775804004,1.4496233165168109e+20,3.04927721747449e+18,0.021034962550142786,7.215640350950182e+19,2.1959646764883622e+18,0.030433399804900053,3485675905.256845,235872512.80291063,0.06766908892682326,0.0037290550644314985,0.019218070705320302,2.469663448100765e-05,3.423799602395326e-08,1.3687185153263938e-09,1.373094007224214e-05
699,3.0,18256,63.120648985937294,1,2,75.6,0,33.91622911328439,34.00708075401274,1.96891625572024e+20,3.840709505686618e+18,0.019506718452490333,9.626903843614904e+19,2.761226150223153e+18,0.02868239046611597,4599882972.590096,289334912.1883763,0.06290049418919412,0.003645159723699061,0.019205926954203333,3.462291779169573e-05,5.2805547946344815e-08,1.995676742511792e-08,1.8131477433514194e-05
728,3.0,16183,58.50724793769212,1,2,75.6,0,38.73595138986411,26.237498135502076,1.8816883050535856e+20,3.7096625645316204e+18,0.019714543341576324,9.62753915279439e+19,2.721793043639955e+18,0.028270911189698517,4248445595.3202553,280629365.7744068,0.06605459796484753,0.003671686219577771,0.0192036052137895,3.6532539638471565e-05,5.530262282905723e-08,1.9027184953416416e-08,1.6727638697966742e-05
795,3.0,6092,84.25616901759346,0,1,0.0,8,46.55447579393006,74.54785745301083,0.0,0.0,0.020982621776065635,0.0,0.0,0.03310585450302268,0.0,0.0,0.06773079523884504,0.00399213959998326,0.019244838360094756,0.0,0.0,0.0,0.0
804,3.0,13852,53.336580070346486,0,1,0.0,8,38.44212912759521,72.8043184421381,0.0,0.0,0.020132410278102527,0.0,0.0,0.030196798136776396,0.0,0.0,0.06632195040002976,0.00399213959998326,0.019244838360094756,0.0,0.0,0.0,0.0
805,3.0,13508,55.8480960756856,1,2,75.6,0,39.27332472441497,40.35066306273589,1.6498380337442518e+20,3.3167931516576517e+18,0.02010375008830595,8.32480834534528e+19,2.4139843986276797e+18,0.02899747716086979,4189686345.5726595,266761745.5148971,0.06367105399113959,0.003677395128384727,0.01921450114242379,2.7277576999061828e-05,4.8296831380405343e-08,4.465569580862654e-09,1.6478929256706543e-05
838,3.0,14258,57.288085709543374,1,2,75.6,0,38.830979246653776,36.36331879122955,1.702071832905033e+20,3.4058940132463524e+18,0.02001028362847236,8.570510958726744e+19,2.502766785384686e+18,0.029202072051915367,4169167368.3472333,265438415.4172733,0.06366700877314503,0.00367801124032906,0.019212246439000834,2.9402517864911555e-05,5.0380461766710384e-08,4.499183988640472e-09,1.6424160634813936e-05
892,3.0,14715,53.97715957845452,1,2,75.6,0,37.189501233579065,14.372751729520129,1.654467084296648e+20,3.2930959213304596e+18,0.01990426979531255,8.176018237979972e+19,2.377227167754094e+18,0.029075609894204803,3975277433.66721,258742509.02283302,0.0650879123131142,0.003693170492355679,0.019214941555164945,2.707990668122512e-05,6.148038613658831e-08,5.4484255861062114e-09,1.5631721322603346e-05
937,3.0,11733,60.81751510005722,1,2,75.6,0,45.2660487102446,25.561570420675285,1.7480154032068156e+20,3.521048303328974e+18,0.0201431194305808,8.69591577368524e+19,2.5800192465772657e+18,0.029669321940590507,4171287681.8026934,275489826.7225645,0.06604431238928764,0.0036785967758125844,0.01920921567876314,3.178382788750388e-05,3.660038634562588e-08,1.7485757976688195e-08,1.6441329411017863e-05
955,3.0,14532,57.99814718256615,1,2,75.6,0,41.55307451517916,67.1245775493911,1.805454744120402e+20,3.5821488493983596e+18,0.01984070141366819,9.134742828224129e+19,2.6382440895255946e+18,0.02888142708707752,4192395052.210078,274657209.86700433,0.06551319864816058,0.003676941685558028,0.019205222501384116,3.531684260997808e-05,4.144588783168728e-08,1.757688162203491e-08,1.6501610241270913e-05
969,3.0,18208,58.945677142275215,1,2,75.6,0,27.47730041742838,58.09471072658135,1.877423059585876e+20,3.558535115432449e+18,0.01895435925996027,9.694539871367378e+19,2.6865931529996846e+18,0.02771243595515535,4467090346.229199,276765502.97487724,0.06195654923534354,0.0036549166170480626,0.019203992754883967,3.6939267912295694e-05,2.6882319393417996e-08,7.706860514695624e-09,1.758115829406553e-05
1003,3.0,15597,61.49897716566301,1,2,75.6,0,41.728017602718914,47.184588346222434,1.8511720820373225e+20,3.6712890624131983e+18,0.019832240870728404,9.172238111090893e+19,2.656533555398974e+18,0.02896276266734446,4356781974.595532,283968350.60287136,0.0651784625117106,0.0036633645313069218,0.019205415911571436,3.4981282004754864e-05,1.6231687014978276e-07,2.0104408762709802e-08,1.717781686653032e-05
1007,3.0,5389,85.82765776063424,1,2,75.6,0,47.30358376703903,66.76146779120889,1.673150376310229e+20,3.4462714282049213e+18,0.020597499644980668,6.218499878024753e+19,2.1416614942549975e+18,0.03444016300174433,4197987920.050744,276041060.625149,0.06575556335136198,0.0036764999689182024,0.019217158633355554,2.5128292311317174e-05,2.8586429095779276e-08,1.4847651593759165e-08,1.6520729860145355e-05
1028,3.0,4666,87.76032383090964,1,2,75.6,0,47.5781306731292,64.89463943198635,1.632093750598558e+20,3.409783594067541e+18,0.02089208167617227,6.13568933642261e+19,2.1555059347416346e+18,0.03513062374175538,4176379667.106217,273135728.1166003,0.06540011921517998,0.003678382752340806,0.01921965560879671,2.2848908043012027e-05,2.1900462766589553e-08,1.1079307231047988e-08,1.644312733437076e-05
1035,3.0,19242,60.73138049164573,0,1,0.0,8,20.59543257715103,74.62035073041518,0.0,0.0,0.018833380400536746,0.0,0.0,0.027819639911708847,0.0,0.0,0.06370552222099558,0.00399213959998326,0.019244838360094756,0.0,0.0,0.0,0.0
1090,3.0,20300,63.929689348777266,1,2,75.6,0,9.072526911898978,18.90944224136788,2.0090147187320324e+20,3.7619940260785823e+18,0.018725567269377318,1.0455402107618558e+20,2.8712918023896115e+18,0.027462280004490518,4632972601.421231,286156631.1213511,0.06176523276515135,0.0036436309441733043,0.01919920806039613,4.043457836580182e-05,1.0916105581946463e-07,1.9710706525698928e-08,1.825238665573278e-05
1120,3.0,14969,54.52670541368186,1,2,75.6,0,34.074125927991446,13.195066210686116,1.70266188902944e+20,3.3405508107077934e+18,0.019619578215919257,8.147369879957638e+19,2.4039671730864876e+18,0.029506051750518864,4064185627.8904595,263823466.8149423,0.06491422660531417,0.003685135580833457,0.0192104116687664,3.146734123800317e-05,2.3956685865542754e-08,3.3887536460867974e-09,1.5988636491982136e-05
1155,3.0,6428,78.7099330648397,1,2,75.6,0,43.09081573232799,71.71687635925497,1.416007153032495e+20,3.066851775745636e+18,0.021658448329005417,6.143442291269268e+19,2.02263080508074e+18,0.03292341181352342,3501375807.821157,242371820.16265467,0.06922188118774895,0.0037284946326033254,0.019219872687255075,2.2963092449038788e-05,2.2924549767825788e-08,1.1119886600248258e-09,1.378711023623173e-05
1180,3.0,7725,74.79472894990474,1,2,75.6,0,46.23269157472863,67.93759563997845,1.6043421327258396e+20,3.3325727822240876e+18,0.020772207587429727,7.599249726093024e+19,2.4202807994588273e+18,0.031848944128635155,3859219080.8357515,265529967.91051978,0.06880406692356442,0.0037015793716585373,0.019215943891471614,2.5748023577462887e-05,4.155618854616749e-08,1.3273056257289994e-08,1.5209409752581782e-05
