,r,id,dist,initial,passes,residence_time,insertion_step,avg_r_dist,burnup,integrated_flux_pebbles_thermal,integrated_flux_pebbles_thermal_unc,integrated_flux_pebbles_thermal_rel_unc,integrated_flux_pebbles_fast,integrated_flux_pebbles_fast_unc,integrated_flux_pebbles_fast_rel_unc,integrated_power_pebbles,integrated_power_pebbles_unc,integrated_power_pebbles_rel_unc,922350,922380,942390,942410,541350,551370,discard_step
5486,3.0,8451,60.00260863902545,1,1,43.2,0,33.68723056138485,75.45213620054497,7.581829282916971e+19,1.6583899557738796e+18,0.021873216790972694,3.4302409982349136e+19,1.1158275741115763e+18,0.032529130597113834,1914760827.8503997,132717812.43918541,0.06931299748187383,0.0038479378519264552,0.019231427865289485,1.267181620899452e-05,3.949077916706621e-09,5.414705551703699e-09,7.5450776992433065e-06,4
5726,3.0,10093,50.038855441205435,1,1,43.2,0,29.87259754879367,72.97624089511301,8.000051877966006e+19,1.70086120587318e+18,0.02126062720365283,3.7610073574962815e+19,1.1898120177025923e+18,0.03163546105090991,1860555101.3246355,134762101.9755716,0.07243112653832545,0.003851540203861633,0.019228972270705927,1.508535831598731e-05,1.548664460431991e-09,5.511111381424932e-09,7.339169583909523e-06,4
5745,3.0,7107,64.4378767216588,1,1,43.2,0,33.02715114413915,75.85553552515714,7.820184393809638e+19,1.6894120797642158e+18,0.02160322563623351,3.604030209095126e+19,1.15302173962641e+18,0.03199256589793964,1884161508.5053148,132678138.56355657,0.07041760378005424,0.00384946045848864,0.019228316769859775,1.5674624443570104e-05,5.614952198549939e-09,5.529705130449284e-09,7.4263328058393155e-06,4
6126,3.0,3430,87.9001056687204,1,1,43.2,0,34.71902963719076,74.68955269349863,6.0894346497370505e+19,1.4203128579125732e+18,0.02332421545855499,2.344667716531606e+19,8.811683324940148e+17,0.0375818000256983,1669801994.226846,121811117.27179319,0.0729494381327496,0.003866562660182229,0.019233665823568315,1.0799733500352085e-05,6.216807665717037e-10,5.641677339148949e-09,6.5766765080780735e-06,4
7183,3.0,5107,75.19235586691337,1,1,43.2,0,33.66991527121847,74.91044938027476,6.578903151699077e+19,1.5194067049316708e+18,0.023095137136032572,2.8292868279261237e+19,1.0193869543530194e+18,0.036029820104886055,1772330562.8725104,126706892.68225142,0.07149168182085108,0.0038583851857716183,0.019230833221431518,1.3355628997393445e-05,2.8630702287683547e-09,6.18949838455268e-09,6.992612477528109e-06,4
7230,3.0,10426,49.67119975906555,1,1,43.2,0,33.135597108889854,77.14651951877937,8.705488478500205e+19,1.825367243402675e+18,0.02096800481570624,4.592176892394793e+19,1.3773473083250872e+18,0.029993341733114482,2152643323.1343126,144885833.28762302,0.06730601011813929,0.003829396728639133,0.019228557298479863,1.506992911783707e-05,8.452445854702126e-09,1.908258063859862e-08,8.477247390357488e-06,4
8178,3.0,2820,92.95057122305256,1,1,43.2,0,33.22728114603554,75.54081778693651,5.9992789579587486e+19,1.3587982889266634e+18,0.022649360005572966,1.936121245510855e+19,7.921353133352227e+17,0.04091351795100073,1446270604.6519165,105678925.37517513,0.07306995318528899,0.00388369781497098,0.01923608420120127,8.468702797779192e-06,6.460268913810361e-10,5.638306450359873e-10,5.689264679182137e-06,4
9368,3.0,11918,30.88428890062224,1,1,43.2,0,22.275150456875487,74.47825500217188,7.935500481935915e+19,1.6574625795244321e+18,0.020886679842026596,3.729578467300796e+19,1.1351334969960204e+18,0.03043597304489881,1836653736.7568266,125441477.74084634,0.0682989260470793,0.003852366362389643,0.01922963329812519,1.4459703679402315e-05,3.187178311774966e-09,1.6657575877635297e-09,7.237888695375717e-06,4
9646,3.0,5597,75.78169292132874,1,1,43.2,0,39.70249019598337,73.36439660078207,8.842337900030873e+19,1.8863357467468337e+18,0.021332997766803818,3.971625908095366e+19,1.3243322283092403e+18,0.03334483808280769,2214814270.861334,150661648.00822374,0.06802450661004271,0.0038240201351984887,0.019229793959302882,1.3920975114503155e-05,1.2491782687334623e-08,2.2014710870260304e-08,8.749216946743604e-06,4
10441,3.0,8215,58.34258734970325,1,1,43.2,0,32.83091094484228,76.09707351323749,8.665111426368125e+19,1.834627762958159e+18,0.021172581317019726,4.119470478456904e+19,1.2914703736513495e+18,0.03135039759127285,2110166637.3157818,142950556.4741572,0.06774372883460814,0.0038325748285861455,0.019230372265071134,1.360522162308109e-05,5.0274979704109745e-09,1.3270826824925593e-08,8.316404891388939e-06,4
