,r,id,dist,initial,passes,residence_time,insertion_step,avg_r_dist,burnup,integrated_flux_pebbles_thermal,integrated_flux_pebbles_thermal_unc,integrated_flux_pebbles_thermal_rel_unc,integrated_flux_pebbles_fast,integrated_flux_pebbles_fast_unc,integrated_flux_pebbles_fast_rel_unc,integrated_power_pebbles,integrated_power_pebbles_unc,integrated_power_pebbles_rel_unc,922350,922380,942390,942410,541350,551370
8,3.0,4984,82.95715252272,1,2,54.0,0,40.35032733378464,44.767036203224016,1.0511291045983258e+20,2.2467918703278313e+18,0.02137503243415956,4.7161402253439975e+19,1.5242998826645637e+18,0.03232091943477742,2533023805.2281947,174393480.09434,0.06884794360573696,0.00380057391895169,0.01922653860941132,1.706977949176142e-05,1.4615101887696105e-08,8.814049985310554e-09,9.991677126912485e-06
38,3.0,11954,47.061701788013,1,2,54.0,0,29.824906226538456,68.95425051524576,1.1178541858964374e+20,2.2138420689139866e+18,0.01980439038333651,5.6538155684057555e+19,1.6650463250445934e+18,0.029449958260914722,2838129772.7843795,184802195.09338152,0.0651140750734873,0.0037782288527337233,0.01922624058759867,1.7261781398158932e-05,1.6008564877234557e-08,8.14807591004092e-09,1.1174797026784346e-05
62,3.0,3135,98.4601309474853,1,2,54.0,0,46.273228306495604,17.01526540017757,1.1387543549057935e+20,2.3851814197898875e+18,0.020945530609955014,3.9099880054135685e+19,1.4769403120426173e+18,0.03777352539183552,2943885592.5919414,194471805.56443885,0.06605956632751354,0.0037707412293309928,0.019227158750979505,1.6426801050257673e-05,1.2524867744304891e-08,1.6718082046223456e-08,1.1595429562533493e-05
177,3.0,3036,97.92809503525736,1,2,54.0,0,42.50091842350983,65.96613997325771,1.0833906292026504e+20,2.334876884774866e+18,0.02155156987552384,3.637607862929989e+19,1.4021514800943037e+18,0.038545976722320775,2765485009.43563,187103982.91308537,0.06765684220840122,0.0037839304633787278,0.01922673992565681,1.693738002726379e-05,2.8279262675597125e-09,1.3731536441963797e-08,1.0886033270938205e-05
216,3.0,11802,40.811752689699716,1,2,54.0,0,26.80596396237617,14.197335965459146,9.658969161836013e+19,2.0026112312662356e+18,0.02073317760635206,5.220767931470362e+19,1.5211832473315016e+18,0.029137155056479975,2389568708.126528,161563511.27738458,0.06761199656152753,0.0038112093731240268,0.019224017503582092,1.9679851135384925e-05,1.0389835057065382e-08,1.0377917511805132e-09,9.403377556070661e-06
243,3.0,11182,52.143472626440044,1,2,54.0,0,36.34245345464608,45.013965503060774,1.1724722704706208e+20,2.385664611417026e+18,0.020347300925585555,6.086507797050145e+19,1.7676440923396198e+18,0.029042008180722563,2860578629.082628,191060147.2693128,0.06679073433845262,0.0037754821962254943,0.019216899825097413,2.5803392237980845e-05,2.3433019158797278e-08,1.5738087801083706e-08,1.1284435176064879e-05
297,3.0,9856,58.11352195199168,1,2,54.0,0,37.944572483489516,9.422656116375865,9.717839321585171e+19,2.128421898705832e+18,0.021902213324089457,4.69565798280433e+19,1.4877282065634102e+18,0.031683061500891355,2281499955.307353,167594411.43844864,0.07345799461822523,0.003819928768536666,0.019226033791413626,1.7573176501145838e-05,2.7860223985983815e-09,7.85229897797029e-09,8.995410432430907e-06
316,3.0,15038,30.945881966130983,1,2,54.0,0,12.703122799879436,11.402125205487014,1.0942503178560178e+20,2.1722484485124385e+18,0.019851476513788543,5.629249007461452e+19,1.6408079115284047e+18,0.02914790071204077,2616239089.914014,172669204.79369467,0.06599901570898464,0.003793833700554418,0.019221135422789717,2.2167163767556258e-05,2.52425488436666e-08,2.1191634725830136e-09,1.030376735071979e-05
348,3.0,2915,97.33363672437886,1,2,54.0,0,40.52154735151543,31.90022843732894,1.0197770613216849e+20,2.2396085129251151e+18,0.021961746325441605,3.3300528072989897e+19,1.328791034368985e+18,0.039903001882026286,2738777439.4490347,184875236.438758,0.06750283311664408,0.003785721685814479,0.01922891163949203,1.5001487763339468e-05,4.252086801126744e-09,1.0008944801674721e-08,1.0790980606907576e-05
349,3.0,2973,97.62489884373352,1,2,54.0,0,42.61212956045282,36.18531183466167,1.0641631056260363e+20,2.2793762426539948e+18,0.02141942556177101,3.5926545957136527e+19,1.374852354362057e+18,0.03826842569286718,2757617449.91547,185016660.09834602,0.06709293927046239,0.00378539482629252,0.019225082486321547,1.8620876698555465e-05,5.23946865635403e-09,1.0628572370836637e-08,1.0863457488488193e-05
