,r,id,dist,initial,passes,residence_time,insertion_step,avg_r_dist,burnup,integrated_flux_pebbles_thermal,integrated_flux_pebbles_thermal_unc,integrated_flux_pebbles_thermal_rel_unc,integrated_flux_pebbles_fast,integrated_flux_pebbles_fast_unc,integrated_flux_pebbles_fast_rel_unc,integrated_power_pebbles,integrated_power_pebbles_unc,integrated_power_pebbles_rel_unc,922350,922380,942390,942410,541350,551370,discard_step
121,3.0,7497,74.52144849823009,1,1,75.6,0,46.40962471847072,79.90605120998514,1.645436116282391e+20,3.3919683675683743e+18,0.020614403281921413,7.519033618561494e+19,2.367634161616246e+18,0.031488543365087523,4110121241.8689446,267449003.7125302,0.0650708307550841,0.0036827035951269354,0.01921274214319501,2.8765454561077875e-05,4.6929831389053025e-08,7.681991741644773e-09,1.617949247605995e-05,7
457,3.0,3859,94.67129508003123,1,1,75.6,0,46.56452481041997,72.40654714476138,1.5347884237043784e+20,3.264695791348253e+18,0.021271308415713456,5.684407418875209e+19,2.0501064648357484e+18,0.03606543855439217,3843933637.280013,260369961.25374824,0.0677352904141153,0.0037031512279021954,0.019219969961908213,2.2680161835546398e-05,4.2435176782733835e-08,9.567693978120788e-09,1.5133994481188233e-05,7
795,3.0,6092,84.25616901759346,1,1,75.6,0,46.55447579393006,74.54785745301083,1.5286584343908886e+20,3.207526175361666e+18,0.020982621776065635,6.664943007931989e+19,2.206486334915348e+18,0.03310585450302268,3737661193.1573286,253154764.94591624,0.06773079523884504,0.0037106906283566844,0.019217814669999653,2.4733568656145493e-05,3.589671800957974e-08,3.3155236203956803e-09,1.4730607712416181e-05,7
804,3.0,13852,53.336580070346486,1,1,75.6,0,38.44212912759521,72.8043184421381,1.6534757635559663e+20,3.328845245680756e+18,0.020132410278102527,7.781335625544678e+19,2.349714211190793e+18,0.030196798136776396,3972535878.302256,263466327.4831009,0.06632195040002976,0.0036926066889561003,0.019211216601949268,3.062063862044266e-05,2.7330667447118363e-08,9.650300339943265e-09,1.562470322390144e-05,7
1035,3.0,19242,60.73138049164573,1,1,75.6,0,20.59543257715103,74.62035073041518,2.034240751984519e+20,3.8311629908398377e+18,0.018833380400536746,9.839904306811476e+19,2.7374259458116833e+18,0.027819639911708847,4547399006.921072,289694428.4831436,0.06370552222099558,0.0036490680328390575,0.019198662422307815,4.113030342666402e-05,6.1491808342032e-08,2.233529652358464e-08,1.7903820017030574e-05,7
1304,3.0,13249,54.786470103704175,1,1,75.6,0,37.80961845305692,76.76656561326392,1.5426402363532234e+20,3.1659442250336364e+18,0.02052289412933943,7.753570917777993e+19,2.291829751188179e+18,0.02955837736562508,3614576626.4660125,242307716.78578994,0.06703626505289922,0.003719126507825029,0.01921320837032595,2.8995031900537045e-05,3.477234327312778e-08,2.9103860322388655e-09,1.4232109555707725e-05,7
1579,3.0,12646,63.49920124671434,1,1,75.6,0,45.851214244145204,73.67328823105818,1.7180474340644458e+20,3.489655514318424e+18,0.02031175301174789,8.69043004456099e+19,2.5573567100186327e+18,0.0294272745641533,3867947373.9688735,261776213.38106704,0.06767832859950737,0.003700766037479322,0.019210648867390746,3.0737983816948935e-05,5.644286937816292e-08,1.4941196109964958e-08,1.5227276044041978e-05,7
1671,3.0,16812,58.273599029305075,1,1,75.6,0,33.85199077647395,79.85802824986106,1.8783931535398106e+20,3.638282337028359e+18,0.019369120517566077,9.254214646615833e+19,2.654173401544179e+18,0.02868069850222009,4335627167.11704,274605810.1689657,0.06333704435004818,0.003666158332818077,0.019203048924500286,3.772342775922092e-05,9.288858406688971e-08,1.4575655314205295e-08,1.709638903639847e-05,7
1754,3.0,10876,60.7758381602039,1,1,75.6,0,44.262593177099184,81.54836533665237,1.6561517820137587e+20,3.4197626023798144e+18,0.020648847765762354,7.890475933409573e+19,2.428002070956175e+18,0.030771300634421996,4106635218.846098,268684419.9511842,0.06542690198490053,0.003682436938164065,0.01921448155315224,2.7444536234005133e-05,1.7085994866340692e-08,1.301037242018795e-08,1.6182421031243597e-05,7
2162,3.0,17219,62.312740800110696,1,1,75.6,0,36.70042792853443,78.40490389668831,1.877596156429241e+20,3.6405409200446525e+18,0.01938937139159962,9.432039400832855e+19,2.682096726398059e+18,0.028436021229525696,4343371401.233986,280812820.8451363,0.06465319101317359,0.0036644274589420454,0.019206372485799813,3.457743919933761e-05,5.07680340451206e-08,1.8391374636502586e-08,1.7088559991901096e-05,7
2913,3.0,13580,62.29559075949086,1,1,75.6,0,45.09345247037628,76.78240352547448,1.7674193556901138e+20,3.5723502798223355e+18,0.02021223920809366,8.693273623530724e+19,2.566897217701882e+18,0.029527394729114153,4040352084.7119956,269063599.66117257,0.06659409725188639,0.003687112252800284,0.019210039615636023,3.142406012800719e-05,2.564554315846197e-08,1.729469770524778e-08,1.5904154434156444e-05,7
